Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,3.660000,3.690000,3.610000,3.610000,3.564292,4000
2022-02-28,3.585000,3.585000,3.545000,3.560000,3.514925,3500
2022-03-01,3.560000,3.590000,3.480000,3.480000,3.435938,5000
2022-03-02,3.530000,3.530000,3.500000,3.530000,3.485305,2500
2022-03-03,3.530000,3.530000,3.530000,3.530000,3.485305,0
2022-03-04,3.435000,3.550000,3.340000,3.400000,3.356951,17500
2022-03-07,3.300000,3.545000,3.100000,3.480000,3.435938,36500
2022-03-08,3.390000,3.400000,3.390000,3.390000,3.347078,2500
2022-03-09,3.395000,3.500000,3.395000,3.500000,3.455685,5000
2022-03-10,3.405000,3.490000,3.365000,3.400000,3.356951,9500
2022-03-11,3.400000,3.400000,3.400000,3.400000,3.356951,1500
2022-03-14,3.370000,3.370000,3.370000,3.370000,3.327331,1000
2022-03-15,3.370000,3.370000,3.370000,3.370000,3.327331,0
2022-03-16,3.445000,3.540000,3.445000,3.500000,3.455685,5000
2022-03-17,3.550000,3.550000,3.510000,3.510000,3.465558,2500
2022-03-18,3.455000,3.565000,3.440000,3.455000,3.411254,4500
2022-03-21,3.530000,3.530000,3.480000,3.480000,3.435938,4000
2022-03-22,3.540000,3.555000,3.540000,3.555000,3.509988,2500
2022-03-23,3.530000,3.530000,3.530000,3.530000,3.485305,500
2022-03-24,3.530000,3.550000,3.480000,3.550000,3.505052,3500
2022-03-25,3.565000,3.650000,3.515000,3.600000,3.554419,17500
2022-03-28,3.580000,3.665000,3.555000,3.620000,3.574165,9000
2022-03-29,3.650000,3.750000,3.650000,3.700000,3.653152,11500
2022-03-30,3.760000,3.775000,3.700000,3.775000,3.727203,2500
2022-03-31,3.775000,3.800000,3.730000,3.775000,3.727203,10500
2022-04-01,3.720000,3.790000,3.710000,3.760000,3.712393,3000
2022-04-04,3.760000,3.900000,3.760000,3.900000,3.850620,18500
2022-04-05,3.930000,3.930000,3.860000,3.910000,3.860494,2500
2022-04-06,3.860000,3.860000,3.790000,3.790000,3.742013,2500
2022-04-07,3.780000,3.790000,3.700000,3.770000,3.722266,6000
2022-04-08,3.810000,3.810000,3.690000,3.730000,3.682773,7000
2022-04-11,3.660000,3.660000,3.660000,3.660000,3.613659,500
2022-04-12,3.650000,3.650000,3.600000,3.610000,3.564292,4500
2022-04-13,3.600000,3.640000,3.600000,3.640000,3.593912,8000
2022-04-14,3.640000,3.640000,3.640000,3.640000,3.593912,1000
2022-04-19,3.550000,3.550000,3.460000,3.510000,3.465558,9000
2022-04-20,3.510000,3.610000,3.510000,3.560000,3.514925,5000
2022-04-21,3.560000,3.560000,3.540000,3.540000,3.495178,2000
2022-04-22,3.510000,3.520000,3.510000,3.520000,3.475431,1500
2022-04-25,3.500000,3.500000,3.490000,3.490000,3.445811,1000
2022-04-26,3.490000,3.490000,3.490000,3.490000,3.445811,0
2022-04-27,3.490000,3.490000,3.490000,3.490000,3.445811,0
2022-04-28,3.460000,3.600000,3.450000,3.500000,3.455685,7500
2022-04-29,3.500000,3.510000,3.500000,3.510000,3.465558,9500
2022-05-02,3.510000,3.510000,3.510000,3.510000,3.465558,0
2022-05-03,3.420000,3.420000,3.420000,3.420000,3.376698,1000
2022-05-04,3.420000,3.420000,3.420000,3.420000,3.376698,0
2022-05-05,3.510000,3.510000,3.440000,3.440000,3.396444,2000
2022-05-06,3.470000,3.500000,3.470000,3.500000,3.455685,1000
