Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,2.480000,2.500000,2.480000,2.500000,2.445415,4500
2022-02-28,2.440000,2.480000,2.360000,2.360000,2.308471,6000
2022-03-01,2.400000,2.460000,2.380000,2.380000,2.328035,7500
2022-03-02,2.340000,2.340000,2.200000,2.220000,2.171528,15000
2022-03-03,2.280000,2.280000,2.140000,2.140000,2.093275,12000
2022-03-04,2.120000,2.120000,1.990000,2.000000,1.956332,21750
2022-03-07,1.930000,1.940000,1.850000,1.870000,1.829170,16500
2022-03-08,1.900000,2.020000,1.900000,1.920000,1.878079,10500
2022-03-09,1.980000,2.040000,1.980000,2.000000,1.956332,9000
2022-03-10,2.040000,2.040000,2.040000,2.040000,1.995458,1500
2022-03-11,2.040000,2.080000,2.040000,2.080000,2.034585,3750
2022-03-14,2.020000,2.120000,2.020000,2.120000,2.073712,14250
2022-03-15,2.140000,2.140000,2.120000,2.120000,2.073712,3000
2022-03-16,2.140000,2.140000,2.080000,2.100000,2.054148,11250
2022-03-17,2.080000,2.080000,2.020000,2.020000,1.975895,5250
2022-03-18,2.040000,2.140000,2.040000,2.100000,2.054148,5250
2022-03-21,2.100000,2.140000,2.100000,2.140000,2.093275,4500
2022-03-22,2.140000,2.180000,2.140000,2.180000,2.132402,1500
2022-03-23,2.200000,2.220000,2.200000,2.200000,2.151965,4500
2022-03-24,2.240000,2.240000,2.120000,2.120000,2.073712,4500
2022-03-25,2.160000,2.160000,2.120000,2.120000,2.073712,5250
2022-03-28,2.140000,2.240000,2.140000,2.220000,2.171528,3750
2022-03-29,2.160000,2.220000,2.160000,2.200000,2.151965,5250
2022-03-30,2.260000,2.260000,2.240000,2.240000,2.191092,10500
2022-03-31,2.320000,2.540000,2.320000,2.380000,2.328035,75000
2022-04-01,2.390000,2.450000,2.360000,2.360000,2.308471,8250
2022-04-04,2.450000,2.500000,2.360000,2.440000,2.386725,34500
2022-04-05,2.360000,2.360000,2.230000,2.260000,2.210655,48750
2022-04-06,2.190000,2.200000,2.020000,2.060000,2.015022,186750
2022-04-07,2.080000,2.200000,2.000000,2.080000,2.034585,174750
2022-04-08,2.080000,2.130000,2.050000,2.130000,2.083493,23250
2022-04-11,2.130000,2.150000,2.120000,2.150000,2.103057,40500
2022-04-12,2.150000,2.170000,2.150000,2.160000,2.112839,3750
2022-04-13,2.160000,2.160000,2.160000,2.160000,2.112839,0
2022-04-14,2.150000,2.240000,2.100000,2.240000,2.191092,18750
2022-04-19,2.210000,2.260000,2.150000,2.200000,2.151965,14250
2022-04-20,2.190000,2.190000,2.110000,2.150000,2.103057,5250
2022-04-21,2.160000,2.180000,2.160000,2.180000,2.132402,2250
2022-04-22,2.180000,2.180000,2.180000,2.180000,2.132402,750
2022-04-25,2.180000,2.180000,2.180000,2.180000,2.132402,0
2022-04-26,2.180000,2.200000,2.180000,2.180000,2.132402,5250
2022-04-27,2.140000,2.140000,2.140000,2.140000,2.093275,1500
2022-04-28,2.120000,2.170000,2.100000,2.170000,2.122620,7500
2022-04-29,2.200000,2.200000,2.050000,2.100000,2.054148,18000
2022-05-02,2.120000,2.150000,2.120000,2.130000,2.083493,15750
2022-05-03,2.130000,2.270000,2.130000,2.270000,2.220437,17250
2022-05-04,2.290000,2.290000,2.210000,2.270000,2.220437,167250
2022-05-05,2.290000,2.290000,2.190000,2.190000,2.142184,8250
2022-05-06,2.150000,2.290000,2.150000,2.290000,2.240000,15000
2022-05-09,2.240000,2.240000,2.130000,2.220000,2.220000,18000
2022-05-10,2.230000,2.300000,2.230000,2.300000,2.300000,6000
2022-05-11,2.230000,2.300000,2.230000,2.250000,2.250000,12750
2022-05-12,2.290000,2.300000,2.240000,2.280000,2.280000,11250
2022-05-13,2.290000,2.310000,2.290000,2.310000,2.310000,47250
2022-05-16,2.300000,2.300000,2.260000,2.260000,2.260000,5250
2022-05-17,2.230000,2.230000,2.200000,2.200000,2.200000,12000
2022-05-18,2.190000,2.290000,2.190000,2.290000,2.290000,33750
2022-05-19,2.250000,2.270000,2.250000,2.270000,2.270000,3000
2022-05-20,2.250000,2.270000,2.250000,2.270000,2.270000,4500
2022-05-23,2.210000,2.210000,2.170000,2.180000,2.180000,9750
2022-05-24,2.200000,2.200000,2.190000,2.190000,2.190000,1500
2022-05-25,2.170000,2.170000,2.170000,2.170000,2.170000,3000
2022-05-26,2.170000,2.170000,2.170000,2.170000,2.170000,0
2022-05-27,2.140000,2.150000,2.070000,2.140000,2.140000,11250
2022-05-30,2.160000,2.160000,2.110000,2.130000,2.130000,7500
2022-05-31,2.140000,2.150000,2.110000,2.140000,2.140000,12000
2022-06-01,2.130000,2.130000,2.130000,2.130000,2.130000,1500
2022-06-02,2.170000,2.290000,2.170000,2.290000,2.290000,7500
2022-06-03,2.280000,2.300000,2.160000,2.240000,2.240000,21750
2022-06-06,2.250000,2.290000,2.250000,2.280000,2.280000,6750
2022-06-07,2.230000,2.290000,2.210000,2.240000,2.240000,15750
2022-06-08,2.240000,2.240000,2.220000,2.230000,2.230000,4500
2022-06-09,2.200000,2.200000,2.190000,2.190000,2.190000,5250
2022-06-10,2.190000,2.210000,2.190000,2.190000,2.190000,10500
2022-06-13,2.190000,2.190000,2.150000,2.180000,2.180000,6750
2022-06-14,2.150000,2.150000,2.100000,2.100000,2.100000,15750
2022-06-15,2.110000,2.130000,2.090000,2.130000,2.130000,3750
2022-06-16,2.100000,2.100000,2.080000,2.080000,2.080000,2250
2022-06-17,2.090000,2.090000,2.080000,2.080000,2.080000,3000
2022-06-20,2.110000,2.110000,2.110000,2.110000,2.110000,750
2022-06-21,2.080000,2.080000,2.080000,2.080000,2.080000,3750
2022-06-22,2.090000,2.090000,2.090000,2.090000,2.090000,750
2022-06-23,2.090000,2.090000,2.090000,2.090000,2.090000,0
2022-06-24,2.090000,2.090000,2.090000,2.090000,2.090000,0
2022-06-27,2.130000,2.180000,2.110000,2.110000,2.110000,5250
2022-06-28,2.130000,2.130000,2.130000,2.130000,2.130000,750
2022-06-29,2.100000,2.100000,2.100000,2.100000,2.100000,750
2022-06-30,2.060000,2.060000,2.060000,2.060000,2.060000,1500
2022-07-01,2.010000,2.030000,1.960000,2.030000,2.030000,8250
2022-07-04,2.030000,2.080000,2.030000,2.080000,2.080000,6000
2022-07-05,2.010000,2.030000,2.000000,2.030000,2.030000,4500
2022-07-06,2.030000,2.030000,1.985000,2.020000,2.020000,12750
2022-07-07,2.010000,2.170000,2.010000,2.140000,2.140000,34500
2022-07-08,2.180000,2.190000,2.090000,2.150000,2.150000,19500
2022-07-11,2.100000,2.130000,2.100000,2.130000,2.130000,6750
2022-07-12,2.080000,2.080000,2.040000,2.040000,2.040000,2250
2022-07-13,2.040000,2.040000,2.040000,2.040000,2.040000,0
2022-07-14,2.000000,2.030000,1.960000,2.030000,2.030000,6000
2022-07-15,2.030000,2.030000,2.030000,2.030000,2.030000,0
2022-07-18,2.030000,2.030000,2.030000,2.030000,2.030000,0
2022-07-19,2.060000,2.060000,2.060000,2.060000,2.060000,750
2022-07-20,2.060000,2.080000,2.060000,2.080000,2.080000,1500
2022-07-21,2.040000,2.090000,2.000000,2.090000,2.090000,4500
2022-07-22,2.090000,2.090000,2.090000,2.090000,2.090000,0
2022-07-25,2.050000,2.050000,2.050000,2.050000,2.050000,1500
2022-07-26,2.050000,2.050000,2.050000,2.050000,2.050000,0
2022-07-27,2.050000,2.050000,2.050000,2.050000,2.050000,750
2022-07-28,2.040000,2.040000,2.040000,2.040000,2.040000,750
2022-07-29,2.040000,2.090000,2.040000,2.090000,2.090000,2250
2022-08-01,2.100000,2.110000,2.100000,2.110000,2.110000,1500
2022-08-02,2.090000,2.090000,2.090000,2.090000,2.090000,750
2022-08-03,2.190000,2.190000,2.190000,2.190000,2.190000,750
2022-08-04,2.120000,2.120000,2.120000,2.120000,2.120000,2250
2022-08-05,2.120000,2.120000,2.120000,2.120000,2.120000,0
2022-08-08,2.120000,2.120000,2.120000,2.120000,2.120000,0
2022-08-09,2.100000,2.100000,1.985000,2.060000,2.060000,15000
2022-08-10,2.060000,2.060000,2.060000,2.060000,2.060000,0
2022-08-11,2.090000,2.090000,2.040000,2.040000,2.040000,9000
2022-08-12,2.040000,2.040000,2.040000,2.040000,2.040000,750
2022-08-16,2.090000,2.170000,2.090000,2.100000,2.100000,4500
2022-08-17,2.110000,2.190000,2.110000,2.190000,2.190000,3000
2022-08-18,2.190000,2.200000,2.100000,2.160000,2.160000,17250
2022-08-19,2.160000,2.180000,2.120000,2.120000,2.120000,7500
2022-08-22,2.170000,2.170000,2.120000,2.120000,2.120000,2250
2022-08-23,2.120000,2.120000,2.120000,2.120000,2.120000,0
2022-08-24,2.150000,2.150000,2.150000,2.150000,2.150000,3000
2022-08-25,2.150000,2.150000,2.150000,2.150000,2.150000,0
2022-08-26,2.160000,2.160000,2.160000,2.160000,2.160000,1500
2022-08-29,2.160000,2.160000,2.160000,2.160000,2.160000,0
2022-08-30,2.100000,2.100000,2.100000,2.100000,2.100000,1500
2022-08-31,2.040000,2.040000,1.945000,2.040000,2.040000,8250
2022-09-01,2.040000,2.040000,2.040000,2.040000,2.040000,0
2022-09-02,2.040000,2.080000,2.040000,2.080000,2.080000,3750
2022-09-05,2.080000,2.080000,2.080000,2.080000,2.080000,0
2022-09-06,2.040000,2.040000,2.010000,2.010000,2.010000,3000
2022-09-07,2.030000,2.030000,1.980000,1.990000,1.990000,2250
2022-09-08,2.000000,2.000000,2.000000,2.000000,2.000000,3000
2022-09-09,1.980000,2.030000,1.980000,2.030000,2.030000,2250
2022-09-12,2.030000,2.030000,2.030000,2.030000,2.030000,0
2022-09-13,1.980000,1.980000,1.980000,1.980000,1.980000,750
2022-09-14,1.980000,1.980000,1.980000,1.980000,1.980000,0
2022-09-15,1.980000,1.980000,1.980000,1.980000,1.980000,0
2022-09-16,1.980000,1.980000,1.980000,1.980000,1.980000,2250
2022-09-19,1.960000,1.960000,1.880000,1.885000,1.885000,12750
2022-09-20,1.905000,1.920000,1.900000,1.900000,1.900000,11250
2022-09-21,1.900000,1.930000,1.900000,1.930000,1.930000,2250
2022-09-22,1.900000,1.900000,1.880000,1.880000,1.880000,2250
2022-09-23,1.910000,1.920000,1.880000,1.880000,1.880000,7500
2022-09-26,1.880000,1.880000,1.880000,1.880000,1.880000,0
2022-09-27,1.850000,1.920000,1.850000,1.920000,1.920000,1500
2022-09-28,1.920000,2.020000,1.920000,2.020000,2.020000,18750
2022-09-29,1.945000,1.945000,1.900000,1.900000,1.900000,6000
2022-09-30,1.880000,1.880000,1.850000,1.850000,1.850000,3750
2022-10-03,1.860000,1.900000,1.860000,1.900000,1.900000,10500
2022-10-04,1.880000,1.910000,1.880000,1.910000,1.910000,6750
2022-10-05,1.880000,1.880000,1.880000,1.880000,1.880000,750
2022-10-06,1.860000,1.880000,1.840000,1.880000,1.880000,4500
2022-10-07,1.850000,1.855000,1.820000,1.835000,1.835000,10500
2022-10-10,1.835000,1.840000,1.835000,1.840000,1.840000,2250
2022-10-11,1.840000,1.840000,1.840000,1.840000,1.840000,0
2022-10-12,1.825000,1.825000,1.800000,1.800000,1.800000,6000
2022-10-13,1.780000,1.820000,1.760000,1.820000,1.820000,16500
2022-10-14,1.800000,1.900000,1.800000,1.900000,1.900000,79500
2022-10-17,1.940000,2.000000,1.930000,1.930000,1.930000,6750
2022-10-18,1.930000,1.930000,1.930000,1.930000,1.930000,0
2022-10-19,1.940000,1.960000,1.940000,1.960000,1.960000,3750
2022-10-20,1.920000,1.920000,1.890000,1.890000,1.890000,6000
2022-10-21,1.890000,1.890000,1.890000,1.890000,1.890000,0
2022-10-24,1.840000,1.880000,1.820000,1.880000,1.880000,3750
2022-10-25,1.880000,1.880000,1.880000,1.880000,1.880000,0
2022-10-26,1.880000,1.880000,1.880000,1.880000,1.880000,0
2022-10-27,1.880000,1.880000,1.880000,1.880000,1.880000,0
2022-10-28,1.880000,1.880000,1.880000,1.880000,1.880000,0
2022-10-31,1.910000,1.910000,1.910000,1.910000,1.910000,1500
2022-11-01,1.925000,1.925000,1.860000,1.860000,1.860000,3750
2022-11-02,1.865000,1.865000,1.860000,1.860000,1.860000,3750
2022-11-03,1.860000,1.860000,1.850000,1.850000,1.850000,2250
2022-11-04,1.915000,1.920000,1.915000,1.920000,1.920000,2250
2022-11-07,1.920000,1.920000,1.920000,1.920000,1.920000,0
2022-11-08,1.880000,1.900000,1.880000,1.900000,1.900000,2250
2022-11-09,1.920000,1.930000,1.890000,1.890000,1.890000,4500
2022-11-10,1.890000,1.970000,1.890000,1.960000,1.960000,28500
2022-11-11,1.960000,2.000000,1.940000,2.000000,2.000000,16500
2022-11-14,2.000000,2.000000,1.990000,2.000000,2.000000,3000
2022-11-15,2.050000,2.140000,2.050000,2.140000,2.140000,21750
2022-11-16,2.190000,2.320000,2.150000,2.230000,2.230000,60000
2022-11-17,2.200000,2.200000,2.070000,2.120000,2.120000,11250
2022-11-18,2.120000,2.150000,2.120000,2.150000,2.150000,7500
2022-11-21,2.130000,2.150000,2.120000,2.150000,2.150000,6750
2022-11-22,2.150000,2.150000,2.120000,2.120000,2.120000,2250
2022-11-23,2.080000,2.080000,2.080000,2.080000,2.080000,750
2022-11-24,2.110000,2.110000,2.080000,2.080000,2.080000,2250
2022-11-25,2.110000,2.190000,2.050000,2.080000,2.080000,16500
2022-11-28,2.090000,2.270000,2.090000,2.200000,2.200000,35250
2022-11-29,2.160000,2.160000,2.160000,2.160000,2.160000,1500
2022-11-30,2.130000,2.130000,2.100000,2.100000,2.100000,4500
2022-12-01,2.150000,2.190000,2.140000,2.140000,2.140000,8250
2022-12-02,2.140000,2.140000,2.140000,2.140000,2.140000,0
2022-12-05,2.190000,2.210000,2.190000,2.210000,2.210000,7500
2022-12-06,2.180000,2.180000,2.180000,2.180000,2.180000,750
2022-12-07,2.180000,2.180000,2.180000,2.180000,2.180000,750
2022-12-08,2.150000,2.150000,2.150000,2.150000,2.150000,1500
2022-12-09,2.150000,2.150000,2.150000,2.150000,2.150000,2250
2022-12-12,2.120000,2.160000,2.120000,2.160000,2.160000,5250
2022-12-13,2.160000,2.160000,2.130000,2.130000,2.130000,3750
2022-12-14,2.110000,2.140000,2.050000,2.110000,2.110000,21750
2022-12-15,2.140000,2.140000,2.040000,2.120000,2.120000,12750
2022-12-16,2.080000,2.130000,2.080000,2.130000,2.130000,3000
2022-12-19,2.170000,2.180000,1.985000,2.060000,2.060000,73500
2022-12-20,2.060000,2.100000,2.000000,2.050000,2.050000,9750
2022-12-21,2.070000,2.100000,2.020000,2.100000,2.100000,45750
2022-12-22,2.100000,2.100000,2.100000,2.100000,2.100000,3000
2022-12-23,2.060000,2.060000,2.050000,2.050000,2.050000,2250
2022-12-27,2.050000,2.050000,2.050000,2.050000,2.050000,750
2022-12-28,2.050000,2.050000,2.050000,2.050000,2.050000,0
2022-12-29,2.050000,2.050000,2.050000,2.050000,2.050000,0
2022-12-30,2.040000,2.200000,2.040000,2.160000,2.160000,10500
2023-01-02,2.140000,2.140000,2.110000,2.110000,2.110000,3000
2023-01-03,2.100000,2.170000,2.100000,2.170000,2.170000,5250
2023-01-04,2.200000,2.240000,2.200000,2.200000,2.200000,9000
2023-01-05,2.250000,2.350000,2.250000,2.280000,2.280000,11250
2023-01-06,2.330000,2.380000,2.290000,2.380000,2.380000,13500
2023-01-09,2.360000,2.380000,2.260000,2.330000,2.330000,76500
2023-01-10,2.280000,2.330000,2.280000,2.300000,2.300000,8250
2023-01-11,2.340000,2.400000,2.290000,2.300000,2.300000,25500
2023-01-12,2.270000,2.310000,2.250000,2.310000,2.310000,11250
2023-01-13,2.320000,2.330000,2.320000,2.330000,2.330000,2250
2023-01-16,2.320000,2.320000,2.300000,2.300000,2.300000,9000
2023-01-17,2.300000,2.300000,2.280000,2.280000,2.280000,3750
2023-01-18,2.300000,2.480000,2.300000,2.390000,2.390000,65250
2023-01-19,2.380000,2.400000,2.330000,2.390000,2.390000,78000
2023-01-20,2.430000,2.440000,2.360000,2.370000,2.370000,27000
2023-01-23,2.370000,2.370000,2.350000,2.370000,2.370000,60000
2023-01-24,2.380000,2.400000,2.330000,2.330000,2.330000,11250
2023-01-25,2.380000,2.480000,2.380000,2.390000,2.390000,36000
2023-01-26,2.400000,2.560000,2.400000,2.540000,2.540000,53250
2023-01-27,2.500000,2.600000,2.480000,2.560000,2.560000,31500
2023-01-30,2.560000,2.590000,2.560000,2.590000,2.590000,2250
2023-01-31,2.510000,2.580000,2.500000,2.520000,2.520000,6750
2023-02-01,2.500000,2.500000,2.490000,2.490000,2.490000,3000
2023-02-02,2.470000,2.470000,2.440000,2.440000,2.440000,6000
2023-02-03,2.460000,2.510000,2.440000,2.470000,2.470000,7500
2023-02-06,2.420000,2.470000,2.420000,2.420000,2.420000,3750
2023-02-07,2.500000,2.590000,2.450000,2.580000,2.580000,23250
2023-02-08,2.570000,2.630000,2.470000,2.470000,2.470000,27750
2023-02-09,2.520000,2.530000,2.480000,2.480000,2.480000,3750
2023-02-10,2.500000,2.650000,2.490000,2.600000,2.600000,33000
2023-02-13,2.650000,2.650000,2.580000,2.600000,2.600000,26250
2023-02-14,2.570000,2.570000,2.560000,2.560000,2.560000,2250
2023-02-15,2.560000,2.560000,2.560000,2.560000,2.560000,0
2023-02-16,2.510000,2.540000,2.450000,2.520000,2.520000,16500
2023-02-17,2.550000,2.680000,2.480000,2.540000,2.540000,175500
2023-02-20,2.590000,2.590000,2.510000,2.510000,2.510000,41250
2023-02-21,2.510000,2.510000,2.500000,2.510000,2.510000,2250
2023-02-22,2.510000,2.510000,2.490000,2.490000,2.490000,8250
2023-02-23,2.470000,2.500000,2.470000,2.480000,2.480000,15000
2023-02-24,2.470000,2.550000,2.460000,2.550000,2.550000,7500
