Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,9.020000,9.100000,8.820000,9.000000,9.000000,2179
2022-02-28,9.000000,9.100000,8.740000,8.920000,8.920000,3225
2022-03-01,8.980000,8.980000,8.720000,8.720000,8.720000,3247
2022-03-02,8.700000,9.140000,8.500000,8.980000,8.980000,4572
2022-03-03,8.660000,9.040000,8.600000,8.780000,8.780000,8763
2022-03-04,8.640000,8.700000,8.260000,8.300000,8.300000,8105
2022-03-07,8.300000,8.340000,7.620000,8.140000,8.140000,19994
2022-03-08,8.000000,8.180000,7.800000,7.980000,7.980000,21583
2022-03-09,8.080000,8.400000,8.080000,8.400000,8.400000,15307
2022-03-10,8.500000,8.580000,8.060000,8.500000,8.500000,11680
2022-03-11,8.460000,8.600000,8.460000,8.480000,8.480000,1686
2022-03-14,8.420000,8.440000,8.320000,8.440000,8.440000,1349
2022-03-15,8.240000,8.800000,8.160000,8.500000,8.500000,5686
2022-03-16,8.600000,8.980000,8.520000,8.980000,8.980000,6526
2022-03-17,8.700000,8.720000,8.620000,8.720000,8.720000,2630
2022-03-18,8.720000,8.720000,8.600000,8.600000,8.600000,2233
2022-03-21,8.700000,8.700000,8.420000,8.440000,8.440000,2145
2022-03-22,8.540000,8.600000,8.420000,8.600000,8.600000,4255
2022-03-23,8.600000,8.660000,8.440000,8.540000,8.540000,2763
2022-03-24,8.720000,8.900000,8.540000,8.600000,8.600000,8359
2022-03-25,8.720000,8.800000,8.560000,8.560000,8.560000,1965
2022-03-28,8.700000,8.800000,8.700000,8.800000,8.800000,1280
2022-03-29,8.860000,8.860000,8.780000,8.860000,8.860000,6390
2022-03-30,8.880000,8.960000,8.760000,8.860000,8.860000,4014
2022-03-31,8.960000,8.960000,8.740000,8.840000,8.840000,2288
2022-04-01,8.740000,8.940000,8.700000,8.840000,8.840000,2487
2022-04-04,8.840000,8.900000,8.740000,8.740000,8.740000,934
2022-04-05,8.700000,8.920000,8.700000,8.800000,8.800000,4106
2022-04-06,8.640000,8.840000,8.640000,8.820000,8.820000,3534
2022-04-07,8.820000,8.920000,8.740000,8.760000,8.760000,2706
2022-04-08,8.700000,8.920000,8.700000,8.880000,8.880000,1806
2022-04-11,8.840000,8.840000,8.740000,8.740000,8.740000,2468
2022-04-12,8.740000,8.820000,8.720000,8.720000,8.720000,2937
2022-04-13,8.720000,8.940000,8.720000,8.940000,8.940000,1865
2022-04-14,8.900000,8.920000,8.780000,8.780000,8.780000,1669
2022-04-19,8.680000,8.780000,8.660000,8.680000,8.680000,9877
2022-04-20,8.720000,8.780000,8.680000,8.700000,8.700000,6735
2022-04-21,8.760000,8.760000,8.620000,8.620000,8.620000,6068
2022-04-22,8.700000,8.700000,8.620000,8.620000,8.620000,2080
2022-04-25,8.620000,8.680000,8.560000,8.560000,8.560000,2816
2022-04-26,8.540000,8.640000,8.500000,8.500000,8.500000,5619
2022-04-27,8.400000,8.400000,7.960000,7.960000,7.960000,59105
2022-04-28,8.060000,8.240000,8.060000,8.180000,8.180000,4057
2022-04-29,8.180000,8.200000,8.080000,8.200000,8.200000,1495
2022-05-02,8.200000,8.300000,8.080000,8.300000,8.300000,2528
2022-05-03,8.340000,8.380000,8.220000,8.360000,8.360000,1558
2022-05-04,8.360000,8.500000,8.360000,8.500000,8.500000,1690
2022-05-05,8.400000,8.560000,8.320000,8.320000,8.320000,2999
2022-05-06,8.440000,8.440000,8.080000,8.340000,8.340000,3772
2022-05-09,8.220000,8.420000,8.220000,8.380000,8.380000,1503
2022-05-10,8.480000,8.620000,8.420000,8.620000,8.620000,5720
2022-05-11,8.660000,8.780000,8.540000,8.740000,8.740000,7365
2022-05-12,8.800000,8.800000,8.680000,8.800000,8.800000,1502
2022-05-13,8.800000,8.960000,8.480000,8.760000,8.760000,8303
2022-05-16,8.860000,8.980000,8.620000,8.860000,8.860000,2491
2022-05-17,8.980000,8.980000,8.760000,8.760000,8.760000,2602
2022-05-18,8.820000,8.820000,8.700000,8.780000,8.780000,1231
2022-05-19,8.760000,8.780000,8.640000,8.720000,8.720000,496
2022-05-20,8.780000,8.900000,8.620000,8.800000,8.800000,10762
2022-05-23,8.700000,8.780000,8.600000,8.760000,8.760000,1157
2022-05-24,8.640000,8.660000,8.580000,8.660000,8.660000,1536
2022-05-25,8.600000,8.600000,8.340000,8.540000,8.540000,2834
2022-05-26,8.580000,8.780000,8.560000,8.780000,8.780000,2925
2022-05-27,8.900000,9.080000,8.760000,8.780000,8.780000,25778
2022-05-30,8.780000,8.860000,8.720000,8.800000,8.800000,8071
2022-05-31,8.720000,8.920000,8.480000,8.860000,8.860000,16809
2022-06-01,8.740000,8.920000,8.660000,8.780000,8.780000,4398
2022-06-02,8.720000,9.220000,8.720000,9.020000,9.020000,9840
2022-06-03,9.140000,9.400000,9.040000,9.300000,9.300000,16021
2022-06-06,9.280000,9.380000,9.140000,9.260000,9.260000,9328
2022-06-07,9.140000,9.240000,9.100000,9.140000,9.140000,975
2022-06-08,9.200000,9.240000,8.960000,9.160000,9.160000,5732
2022-06-09,9.220000,9.220000,9.020000,9.120000,9.120000,4240
2022-06-10,9.220000,9.220000,8.660000,9.000000,9.000000,9295
2022-06-13,9.120000,9.120000,8.460000,8.600000,8.600000,10405
2022-06-14,8.700000,8.700000,8.500000,8.540000,8.540000,4161
2022-06-15,8.420000,8.720000,8.420000,8.660000,8.660000,17226
2022-06-16,8.540000,8.680000,8.420000,8.480000,8.480000,10656
2022-06-17,8.380000,8.580000,8.380000,8.500000,8.500000,3090
2022-06-20,8.380000,8.480000,8.380000,8.460000,8.460000,6814
2022-06-21,8.500000,8.800000,8.480000,8.580000,8.580000,1535
2022-06-22,8.600000,8.660000,8.360000,8.600000,8.600000,1209
2022-06-23,8.600000,8.700000,8.580000,8.580000,8.580000,1100
2022-06-24,8.580000,8.600000,8.580000,8.580000,8.580000,10027
2022-06-27,8.680000,8.740000,8.420000,8.440000,8.440000,1997
2022-06-28,8.420000,8.620000,8.420000,8.500000,8.500000,2370
2022-06-29,8.400000,8.500000,8.360000,8.460000,8.460000,2682
2022-06-30,8.360000,8.460000,8.300000,8.400000,8.400000,1693
2022-07-01,8.460000,8.480000,8.320000,8.320000,8.320000,834
2022-07-04,8.360000,8.360000,8.200000,8.340000,8.340000,168
2022-07-05,8.220000,8.380000,8.100000,8.140000,8.140000,2765
2022-07-06,8.260000,8.420000,8.200000,8.200000,8.200000,1392
2022-07-07,8.500000,8.500000,8.240000,8.300000,8.300000,2529
2022-07-08,8.540000,8.540000,8.200000,8.200000,8.200000,1809
2022-07-11,8.300000,8.420000,8.220000,8.420000,8.420000,1125
2022-07-12,8.300000,8.500000,8.200000,8.200000,8.200000,1334
2022-07-13,8.200000,8.300000,8.200000,8.300000,8.300000,2095
2022-07-14,8.340000,8.400000,8.080000,8.300000,8.300000,1508
2022-07-15,8.320000,8.360000,8.060000,8.360000,8.360000,1595
2022-07-18,8.240000,8.440000,8.240000,8.380000,8.380000,416
2022-07-19,8.500000,8.500000,8.440000,8.440000,8.440000,18
2022-07-20,8.500000,8.500000,8.100000,8.100000,8.100000,3306
2022-07-21,8.100000,8.180000,8.100000,8.140000,8.140000,155
2022-07-22,8.220000,8.320000,8.200000,8.200000,8.200000,60
2022-07-25,8.280000,8.280000,8.080000,8.240000,8.240000,1018
2022-07-26,8.320000,8.480000,8.200000,8.400000,8.400000,1430
2022-07-27,8.280000,8.480000,8.120000,8.120000,8.120000,3310
