Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,0.325000,0.349000,0.280000,0.290000,0.290000,14179130
2022-02-28,0.280000,0.296000,0.258000,0.289000,0.289000,9893536
2022-03-01,0.290000,0.299000,0.275000,0.280000,0.280000,5681106
2022-03-02,0.276000,0.303000,0.273000,0.301000,0.301000,5072961
2022-03-03,0.300000,0.312000,0.284000,0.284000,0.284000,5356055
2022-03-04,0.281000,0.293000,0.274000,0.283000,0.283000,3390166
2022-03-07,0.276000,0.278000,0.244000,0.246000,0.246000,5173323
2022-03-08,0.249000,0.279000,0.238000,0.279000,0.279000,6825591
2022-03-09,0.280000,0.299000,0.270000,0.289000,0.289000,4488701
2022-03-10,0.295000,0.295000,0.272000,0.272000,0.272000,1494827
2022-03-11,0.278000,0.297000,0.272000,0.280000,0.280000,2194819
2022-03-14,0.293000,0.293000,0.273000,0.276000,0.276000,2046745
2022-03-15,0.275000,0.283000,0.265000,0.267000,0.267000,2513686
2022-03-16,0.270000,0.277000,0.268000,0.276000,0.276000,1527222
2022-03-17,0.271000,0.283000,0.270000,0.279000,0.279000,1025672
2022-03-18,0.283000,0.283000,0.275000,0.280000,0.280000,739221
2022-03-21,0.279000,0.281000,0.275000,0.281000,0.281000,1175008
2022-03-22,0.276000,0.281000,0.276000,0.277000,0.277000,1267053
2022-03-23,0.279000,0.279000,0.268000,0.268000,0.268000,1223219
2022-03-24,0.268000,0.281000,0.264000,0.269000,0.269000,2306096
2022-03-25,0.271000,0.275000,0.245000,0.265000,0.265000,2967316
2022-03-28,0.262000,0.273000,0.258000,0.272000,0.272000,924891
2022-03-29,0.274000,0.281000,0.270000,0.274000,0.274000,1819696
2022-03-30,0.279000,0.338000,0.279000,0.325000,0.325000,7614107
2022-03-31,0.325000,0.335000,0.298000,0.319000,0.319000,9433867
2022-04-01,0.323500,0.340000,0.308000,0.310500,0.310500,7442695
2022-04-04,0.322000,0.322000,0.292000,0.300000,0.300000,4764771
2022-04-05,0.303000,0.330000,0.299500,0.315500,0.315500,5146071
2022-04-06,0.328000,0.338000,0.280000,0.280000,0.280000,9648417
2022-04-07,0.285500,0.298000,0.264500,0.290000,0.290000,3952933
2022-04-08,0.285000,0.294500,0.280500,0.282000,0.282000,1442340
2022-04-11,0.277000,0.302000,0.277000,0.294000,0.294000,2037861
2022-04-12,0.291000,0.299500,0.284500,0.289000,0.289000,1661110
2022-04-13,0.289500,0.299000,0.289000,0.292000,0.292000,1199495
2022-04-14,0.292000,0.295000,0.282000,0.283000,0.283000,1250976
2022-04-19,0.288000,0.292000,0.284000,0.285000,0.285000,526254
2022-04-20,0.285000,0.286000,0.273500,0.275000,0.275000,2121860
2022-04-21,0.274000,0.284000,0.271500,0.279500,0.279500,1209874
2022-04-22,0.280000,0.314000,0.280000,0.305500,0.305500,4709390
2022-04-25,0.301500,0.319500,0.299000,0.308500,0.308500,1542831
2022-04-26,0.313000,0.314000,0.301500,0.308000,0.308000,1027355
2022-04-27,0.302000,0.308000,0.275500,0.277500,0.277500,5334178
