Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,0.839000,0.858000,0.820000,0.858000,0.858000,27500
2022-02-28,0.820000,0.865000,0.820000,0.865000,0.865000,10100
2022-03-01,0.848000,0.865000,0.838000,0.865000,0.865000,20600
2022-03-02,0.865000,0.883000,0.865000,0.880000,0.880000,10900
2022-03-03,0.882000,0.882000,0.845000,0.859000,0.859000,36200
2022-03-04,0.842000,0.842000,0.782000,0.799000,0.799000,55900
2022-03-07,0.783000,0.783000,0.720000,0.766000,0.766000,63000
2022-03-08,0.781000,0.848000,0.770000,0.848000,0.848000,23500
2022-03-09,0.850000,0.890000,0.841000,0.875000,0.875000,52600
2022-03-10,0.870000,0.870000,0.825000,0.860000,0.860000,99800
2022-03-11,0.860000,0.873000,0.860000,0.865000,0.865000,18800
2022-03-14,0.870000,0.882000,0.859000,0.875000,0.875000,10500
2022-03-15,0.852000,0.868000,0.839000,0.857000,0.857000,25600
2022-03-16,0.870000,0.881000,0.852000,0.860000,0.860000,17300
2022-03-17,0.869000,0.918000,0.851000,0.881000,0.881000,195000
2022-03-18,0.889000,0.889000,0.869000,0.875000,0.875000,12700
2022-03-21,0.870000,0.873000,0.857000,0.871000,0.871000,13100
2022-03-22,0.862000,0.900000,0.862000,0.899000,0.899000,26400
2022-03-23,0.900000,0.908000,0.877000,0.902000,0.902000,19500
2022-03-24,0.899000,0.908000,0.885000,0.902000,0.902000,19300
2022-03-25,0.907000,0.914000,0.887000,0.910000,0.910000,16300
2022-03-28,0.920000,0.920000,0.910000,0.916000,0.916000,21200
2022-03-29,0.916000,0.917000,0.901000,0.917000,0.917000,12800
2022-03-30,0.912000,0.916000,0.904000,0.915000,0.915000,117300
2022-03-31,0.916000,0.917000,0.886000,0.896000,0.896000,31400
2022-04-01,0.894000,0.902000,0.886000,0.892000,0.892000,10000
2022-04-04,0.900000,0.904000,0.880000,0.880000,0.880000,6500
2022-04-05,0.880000,0.890000,0.878000,0.890000,0.890000,17700
2022-04-06,0.888000,0.898000,0.862000,0.888000,0.888000,8900
2022-04-07,0.872000,0.888000,0.870000,0.880000,0.880000,15500
2022-04-08,0.888000,0.888000,0.862000,0.878000,0.878000,26500
2022-04-11,0.866000,0.880000,0.862000,0.862000,0.862000,19700
2022-04-12,0.854000,0.882000,0.850000,0.882000,0.882000,23500
2022-04-13,0.872000,0.906000,0.872000,0.900000,0.900000,128900
2022-04-14,0.886000,0.910000,0.884000,0.910000,0.910000,60500
2022-04-19,0.892000,0.910000,0.892000,0.910000,0.910000,1600
2022-04-20,0.900000,0.900000,0.892000,0.892000,0.892000,5500
2022-04-21,0.878000,0.886000,0.870000,0.886000,0.886000,15500
2022-04-22,0.880000,0.888000,0.870000,0.888000,0.888000,10500
2022-04-25,0.868000,0.890000,0.868000,0.890000,0.890000,3800
2022-04-26,0.890000,0.908000,0.888000,0.908000,0.908000,38100
2022-04-27,0.900000,1.080000,0.872000,1.080000,1.080000,896900
2022-04-28,1.080000,1.135000,0.986000,1.005000,1.005000,818600
2022-04-29,0.996000,1.030000,0.970000,0.980000,0.980000,283300
2022-05-02,0.982000,1.140000,0.930000,1.140000,1.140000,542300
2022-05-03,1.170000,1.345000,1.140000,1.345000,1.345000,1497600
2022-05-04,1.385000,1.470000,1.225000,1.265000,1.265000,2378300
2022-05-05,1.295000,1.420000,1.235000,1.360000,1.360000,1081800
2022-05-06,1.370000,1.460000,1.290000,1.325000,1.325000,566400
2022-05-09,1.355000,1.410000,1.140000,1.140000,1.140000,463000
2022-05-10,1.190000,1.295000,1.150000,1.220000,1.220000,508600
2022-05-11,1.255000,1.340000,1.200000,1.310000,1.310000,569500
2022-05-12,1.270000,1.370000,1.250000,1.320000,1.320000,438500
2022-05-13,1.315000,1.375000,1.285000,1.290000,1.290000,398300
2022-05-16,1.300000,1.315000,1.190000,1.230000,1.230000,587800
2022-05-17,1.265000,1.270000,1.190000,1.190000,1.190000,565200
2022-05-18,1.195000,1.395000,1.180000,1.395000,1.395000,830400
2022-05-19,1.420000,1.570000,1.395000,1.570000,1.570000,2273500
2022-05-20,1.570000,1.610000,1.445000,1.450000,1.450000,1108700
2022-05-23,1.510000,1.645000,1.470000,1.615000,1.615000,956800
2022-05-24,1.615000,1.810000,1.615000,1.710000,1.710000,1869600
2022-05-25,1.735000,1.880000,1.680000,1.820000,1.820000,2146800
2022-05-26,1.855000,1.880000,1.700000,1.740000,1.740000,1103600
2022-05-27,1.765000,1.790000,1.695000,1.715000,1.715000,389600
2022-05-30,1.720000,1.745000,1.555000,1.600000,1.600000,1105800
2022-05-31,1.605000,1.730000,1.515000,1.730000,1.730000,1414400
2022-06-01,1.750000,1.780000,1.655000,1.660000,1.660000,443500
2022-06-02,1.675000,1.680000,1.610000,1.640000,1.640000,158900
2022-06-03,1.640000,1.660000,1.580000,1.590000,1.590000,205300
2022-06-06,1.580000,1.680000,1.560000,1.680000,1.680000,397500
2022-06-07,1.710000,1.750000,1.685000,1.710000,1.710000,547100
2022-06-08,1.720000,1.755000,1.620000,1.680000,1.680000,418600
2022-06-09,1.655000,1.720000,1.560000,1.590000,1.590000,421400
2022-06-10,1.615000,1.670000,1.485000,1.570000,1.570000,564600
2022-06-13,1.535000,1.650000,1.525000,1.545000,1.545000,386900
2022-06-14,1.545000,1.665000,1.450000,1.465000,1.465000,437600
2022-06-15,1.465000,1.470000,1.345000,1.380000,1.380000,911700
2022-06-16,1.385000,1.430000,1.270000,1.275000,1.275000,377200
2022-06-17,1.250000,1.325000,1.205000,1.230000,1.230000,258400
2022-06-20,1.225000,1.480000,1.160000,1.480000,1.480000,520500
2022-06-21,1.450000,1.560000,1.375000,1.400000,1.400000,632100
2022-06-22,1.385000,1.415000,1.335000,1.335000,1.335000,187800
2022-06-23,1.300000,1.375000,1.300000,1.330000,1.330000,156200
2022-06-24,1.350000,1.385000,1.305000,1.310000,1.310000,145200
2022-06-27,1.315000,1.330000,1.185000,1.190000,1.190000,434200
2022-06-28,1.215000,1.290000,1.195000,1.240000,1.240000,365100
2022-06-29,1.220000,1.240000,1.170000,1.185000,1.185000,136800
2022-06-30,1.185000,1.185000,1.115000,1.140000,1.140000,155500
2022-07-01,1.120000,1.160000,1.090000,1.130000,1.130000,135200
2022-07-04,1.120000,1.160000,1.090000,1.090000,1.090000,91500
2022-07-05,1.080000,1.100000,1.030000,1.030000,1.030000,244300
2022-07-06,1.040000,1.130000,1.040000,1.070000,1.070000,230200
2022-07-07,1.075000,1.160000,1.075000,1.110000,1.110000,276800
2022-07-08,1.100000,1.170000,1.090000,1.120000,1.120000,393900
2022-07-11,1.125000,1.175000,1.100000,1.150000,1.150000,140800
2022-07-12,1.150000,1.150000,1.105000,1.130000,1.130000,62300
2022-07-13,1.140000,1.140000,1.070000,1.090000,1.090000,171300
2022-07-14,1.000000,1.035000,0.830000,0.878000,0.878000,901100
2022-07-15,0.906000,0.940000,0.816000,0.832000,0.832000,340100
2022-07-18,0.840000,0.856000,0.804000,0.830000,0.830000,119000
2022-07-19,0.830000,0.852000,0.800000,0.848000,0.848000,116300
2022-07-20,0.864000,0.950000,0.846000,0.920000,0.920000,233500
2022-07-21,0.926000,0.926000,0.870000,0.894000,0.894000,117200
2022-07-22,0.882000,0.924000,0.862000,0.862000,0.862000,69000
2022-07-25,0.862000,0.862000,0.820000,0.842000,0.842000,73700
2022-07-26,0.832000,0.868000,0.832000,0.846000,0.846000,33200
2022-07-27,0.836000,0.862000,0.810000,0.810000,0.810000,63200
2022-07-28,0.826000,0.826000,0.766000,0.796000,0.796000,87600
2022-07-29,0.794000,0.846000,0.792000,0.798000,0.798000,100900
2022-08-01,0.784000,0.830000,0.784000,0.806000,0.806000,58000
2022-08-02,0.800000,0.822000,0.786000,0.804000,0.804000,51700
2022-08-03,0.794000,0.810000,0.782000,0.782000,0.782000,35900
2022-08-04,0.772000,0.802000,0.772000,0.802000,0.802000,40700
2022-08-05,0.792000,0.800000,0.792000,0.800000,0.800000,3800
2022-08-08,0.804000,0.878000,0.798000,0.866000,0.866000,137800
2022-08-09,0.878000,0.880000,0.848000,0.850000,0.850000,58000
2022-08-10,0.858000,0.868000,0.832000,0.866000,0.866000,29800
2022-08-11,0.868000,0.868000,0.844000,0.858000,0.858000,22700
2022-08-12,0.860000,0.864000,0.842000,0.864000,0.864000,30000
2022-08-16,0.868000,0.880000,0.848000,0.852000,0.852000,33100
2022-08-17,0.840000,0.898000,0.834000,0.854000,0.854000,74000
2022-08-18,0.868000,0.880000,0.848000,0.866000,0.866000,35500
2022-08-19,0.868000,0.868000,0.842000,0.842000,0.842000,40100
2022-08-22,0.830000,0.852000,0.822000,0.848000,0.848000,34000
2022-08-23,0.838000,0.858000,0.826000,0.842000,0.842000,15800
2022-08-24,0.846000,0.856000,0.822000,0.846000,0.846000,27200
2022-08-25,0.858000,0.862000,0.844000,0.856000,0.856000,14200
2022-08-26,0.864000,0.866000,0.830000,0.848000,0.848000,21600
2022-08-29,0.848000,0.848000,0.830000,0.848000,0.848000,7600
2022-08-30,0.864000,0.864000,0.832000,0.834000,0.834000,4000
2022-08-31,0.834000,0.846000,0.802000,0.824000,0.824000,60900
2022-09-01,0.820000,0.834000,0.820000,0.834000,0.834000,1300
2022-09-02,0.834000,0.846000,0.834000,0.846000,0.846000,2600
2022-09-05,0.830000,0.846000,0.822000,0.846000,0.846000,10800
2022-09-06,0.846000,0.846000,0.810000,0.826000,0.826000,63900
2022-09-07,0.810000,0.878000,0.794000,0.850000,0.850000,97400
2022-09-08,0.850000,0.864000,0.846000,0.860000,0.860000,34800
2022-09-09,0.890000,0.926000,0.850000,0.860000,0.860000,71000
2022-09-12,0.876000,0.896000,0.834000,0.856000,0.856000,20600
2022-09-13,0.870000,0.870000,0.836000,0.844000,0.844000,17700
2022-09-14,0.830000,0.856000,0.830000,0.850000,0.850000,9900
2022-09-15,0.832000,0.848000,0.822000,0.836000,0.836000,13700
2022-09-16,0.830000,0.852000,0.818000,0.852000,0.852000,5400
2022-09-19,0.834000,0.854000,0.818000,0.850000,0.850000,14200
2022-09-20,0.850000,0.850000,0.832000,0.850000,0.850000,2400
2022-09-21,0.850000,0.856000,0.816000,0.850000,0.850000,15800
2022-09-22,0.832000,0.832000,0.792000,0.816000,0.816000,78900
2022-09-23,0.810000,0.810000,0.760000,0.772000,0.772000,130600
2022-09-26,0.770000,0.770000,0.724000,0.724000,0.724000,62600
2022-09-27,0.738000,0.738000,0.720000,0.728000,0.728000,14100
2022-09-28,0.742000,0.742000,0.700000,0.720000,0.720000,33200
2022-09-29,0.710000,0.720000,0.670000,0.696000,0.696000,100300
2022-09-30,0.696000,0.758000,0.696000,0.726000,0.726000,92100
2022-10-03,0.732000,0.750000,0.732000,0.750000,0.750000,19600
2022-10-04,0.750000,0.760000,0.736000,0.752000,0.752000,15400
2022-10-05,0.764000,0.770000,0.734000,0.760000,0.760000,53800
2022-10-06,0.744000,0.760000,0.730000,0.760000,0.760000,15800
2022-10-07,0.740000,0.754000,0.724000,0.750000,0.750000,8900
2022-10-10,0.734000,0.740000,0.710000,0.732000,0.732000,60300
2022-10-11,0.710000,0.724000,0.688000,0.720000,0.720000,29000
2022-10-12,0.706000,0.734000,0.688000,0.720000,0.720000,52600
2022-10-13,0.700000,0.732000,0.692000,0.728000,0.728000,8000
2022-10-14,0.740000,0.740000,0.712000,0.712000,0.712000,700
2022-10-17,0.726000,0.750000,0.688000,0.720000,0.720000,42500
2022-10-18,0.730000,0.732000,0.680000,0.680000,0.680000,71900
2022-10-19,0.694000,0.704000,0.666000,0.680000,0.680000,104900
2022-10-20,0.690000,0.698000,0.672000,0.698000,0.698000,40800
2022-10-21,0.684000,0.694000,0.672000,0.688000,0.688000,38300
2022-10-24,0.700000,0.700000,0.676000,0.690000,0.690000,14000
2022-10-25,0.678000,0.686000,0.670000,0.672000,0.672000,33600
2022-10-26,0.672000,0.680000,0.654000,0.658000,0.658000,55700
2022-10-27,0.670000,0.670000,0.608000,0.632000,0.632000,162000
2022-10-28,0.618000,0.636000,0.604000,0.622000,0.622000,54600
2022-10-31,0.634000,0.740000,0.624000,0.738000,0.738000,399000
2022-11-01,0.750000,0.798000,0.688000,0.738000,0.738000,616700
