Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,6.556000,6.912000,6.462000,6.912000,6.912000,1981346
2022-02-28,6.750000,6.892000,6.676000,6.788000,6.788000,1089437
2022-03-01,6.796000,7.020000,6.588000,6.590000,6.590000,1526956
2022-03-02,6.542000,6.746000,6.374000,6.646000,6.646000,1556954
2022-03-03,6.674000,6.702000,6.300000,6.338000,6.338000,1091771
2022-03-04,6.252000,6.252000,5.660000,5.706000,5.706000,3300547
2022-03-07,5.422000,5.732000,5.100000,5.562000,5.562000,3132237
2022-03-08,5.518000,5.840000,5.514000,5.626000,5.626000,1592671
2022-03-09,5.850000,6.134000,5.740000,6.080000,6.080000,1539780
2022-03-10,6.180000,6.180000,5.720000,5.720000,5.720000,1562999
2022-03-11,5.796000,5.988000,5.600000,5.834000,5.834000,2419384
2022-03-14,5.908000,6.000000,5.696000,5.722000,5.722000,1415626
2022-03-15,5.692000,5.830000,5.558000,5.820000,5.820000,1238020
2022-03-16,5.956000,6.072000,5.844000,6.044000,6.044000,1551168
2022-03-17,6.088000,6.186000,5.888000,5.960000,5.960000,822095
2022-03-18,5.990000,5.990000,5.812000,5.952000,5.952000,812154
2022-03-21,5.928000,6.054000,5.856000,5.882000,5.882000,898585
2022-03-22,5.900000,6.010000,5.900000,5.952000,5.952000,614699
2022-03-23,5.988000,6.006000,5.826000,5.840000,5.840000,588053
2022-03-24,5.868000,5.892000,5.730000,5.766000,5.766000,691993
2022-03-25,5.766000,5.866000,5.766000,5.838000,5.838000,597040
2022-03-28,5.898000,6.114000,5.880000,5.950000,5.950000,947464
2022-03-29,6.056000,6.322000,6.040000,6.318000,6.318000,1653690
2022-03-30,6.308000,6.414000,6.218000,6.274000,6.274000,713747
2022-03-31,6.318000,6.360000,6.128000,6.134000,6.134000,704973
2022-04-01,6.150000,6.218000,6.056000,6.070000,6.070000,642433
2022-04-04,6.104000,6.108000,6.004000,6.042000,6.042000,482055
2022-04-05,6.042000,6.060000,5.906000,5.954000,5.954000,721225
2022-04-06,5.940000,6.006000,5.754000,5.880000,5.880000,803780
2022-04-07,5.950000,6.186000,5.910000,5.916000,5.916000,1300695
2022-04-08,6.000000,6.060000,5.820000,5.890000,5.890000,1133767
2022-04-11,5.860000,6.068000,5.860000,5.934000,5.934000,1505307
2022-04-12,5.890000,5.914000,5.812000,5.846000,5.846000,927675
2022-04-13,5.860000,6.006000,5.810000,5.986000,5.986000,924155
2022-04-14,6.020000,6.598000,6.002000,6.518000,6.518000,3254109
2022-04-19,6.432000,7.400000,6.390000,7.320000,7.320000,3147144
2022-04-20,7.302000,7.400000,6.880000,6.970000,6.970000,5159589
2022-04-21,6.996000,7.216000,6.988000,7.158000,7.158000,3624788
2022-04-22,7.032000,7.262000,7.014000,7.190000,7.190000,1060791
2022-04-25,7.088000,7.172000,6.920000,6.958000,6.958000,1150704
2022-04-26,7.060000,7.062000,6.890000,7.002000,7.002000,1097494
2022-04-27,7.016000,7.016000,6.764000,6.856000,6.856000,1129840
2022-04-28,6.930000,6.952000,6.746000,6.868000,6.868000,865920
2022-04-29,6.880000,7.174000,6.880000,7.116000,7.116000,1400935
2022-05-02,7.028000,7.090000,6.904000,6.938000,6.938000,523480
2022-05-03,6.988000,7.200000,6.938000,7.042000,7.042000,757655
2022-05-04,7.080000,7.080000,6.940000,6.950000,6.950000,444945
2022-05-05,7.050000,7.088000,6.790000,6.814000,6.814000,925199
2022-05-06,6.770000,7.020000,6.688000,6.966000,6.966000,1347204
2022-05-09,6.880000,6.896000,6.604000,6.622000,6.622000,670328
2022-05-10,6.720000,6.720000,6.520000,6.560000,6.560000,894123
2022-05-11,6.672000,6.838000,6.602000,6.766000,6.766000,749215
2022-05-12,6.700000,6.750000,6.306000,6.558000,6.558000,1308717
2022-05-13,6.648000,6.850000,6.560000,6.850000,6.850000,696544
2022-05-16,6.770000,6.954000,6.770000,6.818000,6.818000,572167
2022-05-17,6.878000,7.148000,6.832000,7.070000,7.070000,897889
2022-05-18,7.100000,7.100000,6.884000,6.964000,6.964000,643819
2022-05-19,6.886000,6.964000,6.830000,6.920000,6.920000,314293
2022-05-20,6.944000,7.020000,6.824000,6.846000,6.846000,413563
2022-05-23,6.928000,6.938000,6.640000,6.750000,6.750000,858518
2022-05-24,6.688000,6.874000,6.664000,6.744000,6.744000,448367
2022-05-25,6.852000,6.932000,6.700000,6.892000,6.892000,593154
2022-05-26,6.892000,7.024000,6.588000,6.880000,6.880000,1463362
2022-05-27,6.998000,7.160000,6.858000,7.030000,7.030000,1178984
2022-05-30,7.130000,7.194000,7.060000,7.060000,7.060000,608509
2022-05-31,7.070000,7.170000,6.950000,6.998000,6.998000,914020
2022-06-01,7.072000,7.360000,6.984000,7.100000,7.100000,1450009
2022-06-02,7.090000,7.200000,7.082000,7.176000,7.176000,248392
2022-06-03,7.222000,7.228000,7.152000,7.154000,7.154000,305565
2022-06-06,7.198000,7.276000,7.134000,7.156000,7.156000,473551
2022-06-07,7.076000,7.180000,6.980000,7.162000,7.162000,645140
2022-06-08,7.166000,7.172000,7.070000,7.114000,7.114000,346419
2022-06-09,7.100000,7.150000,7.014000,7.054000,7.054000,322038
