Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,4.399000,4.544000,4.307000,4.508000,4.319873,37290
2022-02-28,4.325000,4.417000,4.290000,4.417000,4.232671,8070
2022-03-01,4.417000,4.417000,4.251000,4.251000,4.073598,11969
2022-03-02,4.254000,4.299000,4.254000,4.271000,4.092763,9728
2022-03-03,4.314000,4.336000,4.282000,4.282000,4.103305,12405
2022-03-04,4.024000,4.044000,4.024000,4.044000,3.875237,425
2022-03-07,3.730000,3.848000,3.711000,3.739000,3.582965,26788
2022-03-08,3.749000,3.887000,3.743000,3.743000,3.586798,13134
2022-03-09,3.955000,3.987000,3.955000,3.987000,3.820615,839
2022-03-10,3.948000,3.957000,3.943000,3.943000,3.778452,15886
2022-03-11,3.928000,4.031000,3.928000,4.023000,3.855113,19986
2022-03-14,4.148000,4.148000,4.147000,4.147000,3.973938,6102
2022-03-15,4.137000,4.145000,4.122000,4.122000,3.949982,6429
2022-03-16,4.277000,4.394000,4.277000,4.335000,4.154093,19984
2022-03-17,4.335000,4.335000,4.335000,4.335000,4.154093,300
2022-03-18,4.335000,4.335000,4.335000,4.335000,4.154093,0
2022-03-21,4.335000,4.335000,4.335000,4.335000,4.154093,300
2022-03-22,4.459000,4.564000,4.459000,4.564000,4.373536,9738
2022-03-23,4.777000,4.780000,4.771000,4.771000,4.571898,8051
2022-03-24,4.622000,4.643000,4.622000,4.643000,4.449239,3400
2022-03-25,4.643000,4.643000,4.643000,4.643000,4.449239,0
2022-03-28,4.847000,4.847000,4.847000,4.847000,4.644726,3324
2022-03-29,4.854000,4.900000,4.854000,4.894000,4.689764,9569
2022-03-30,4.861000,4.861000,4.856000,4.856000,4.653350,2928
2022-03-31,4.871000,4.871000,4.801000,4.801000,4.600646,6847
2022-04-01,4.942000,4.942000,4.942000,4.942000,4.735761,1500
2022-04-04,4.926000,4.926000,4.925000,4.925000,4.719471,1000
2022-04-05,4.900000,4.916000,4.900000,4.916000,4.710846,410
2022-04-06,4.960000,4.967000,4.960000,4.967000,4.759718,1131
2022-04-07,4.946000,4.990000,4.946000,4.987000,4.778883,1163
2022-04-08,5.032000,5.058000,5.018000,5.018000,4.808590,4727
2022-04-11,5.040000,5.040000,5.040000,5.040000,4.829671,993
2022-04-12,5.000000,5.106000,4.986000,5.106000,4.892918,1893
2022-04-13,5.110000,5.110000,5.110000,5.110000,4.896750,1100
2022-04-14,5.176000,5.200000,5.166000,5.200000,4.982994,7142
2022-04-19,5.256000,5.256000,5.226000,5.248000,5.028991,16222
2022-04-20,5.250000,5.360000,5.250000,5.360000,5.136318,10500
2022-04-21,5.352000,5.352000,5.344000,5.344000,5.120985,1700
2022-04-22,5.320000,5.358000,5.320000,5.356000,5.132484,2988
2022-04-25,5.174000,5.174000,5.036000,5.036000,4.825838,2826
2022-04-26,5.020000,5.026000,5.002000,5.002000,4.793257,4836
2022-04-27,4.902000,4.902000,4.902000,4.902000,4.697431,900
2022-04-28,4.864000,4.864000,4.795000,4.816000,4.615020,2024
2022-04-29,4.816000,4.816000,4.816000,4.816000,4.615020,0
2022-05-02,4.745000,4.887000,4.711000,4.870000,4.666766,16071
2022-05-03,4.936000,4.936000,4.916000,4.922000,4.716596,2436
2022-05-04,4.908000,4.908000,4.908000,4.908000,4.703180,4000
2022-05-05,4.908000,4.908000,4.908000,4.908000,4.703180,0
2022-05-06,4.760000,4.788000,4.760000,4.788000,4.588188,1155
2022-05-09,4.788000,4.788000,4.788000,4.788000,4.588188,0
2022-05-10,4.838000,4.838000,4.838000,4.838000,4.636101,350
2022-05-11,4.875000,4.875000,4.796000,4.825000,4.623644,9761
2022-05-12,4.877000,4.877000,4.843000,4.843000,4.640893,7664
2022-05-13,4.915000,4.950000,4.915000,4.940000,4.733845,6265
2022-05-16,4.904000,4.908000,4.904000,4.908000,4.703180,7357
2022-05-17,4.908000,4.908000,4.908000,4.908000,4.703180,0
2022-05-18,4.908000,4.908000,4.908000,4.908000,4.703180,0
2022-05-19,4.742000,4.742000,4.742000,4.742000,4.544108,3000
2022-05-20,4.770000,4.770000,4.770000,4.770000,4.570939,290
2022-05-23,4.936000,4.936000,4.936000,4.936000,4.730011,3000
2022-05-24,4.900000,4.900000,4.897000,4.897000,4.692639,1907
2022-05-25,4.897000,4.897000,4.897000,4.897000,4.692639,0
2022-05-26,4.965000,4.965000,4.965000,4.965000,4.757802,407
2022-05-27,4.965000,4.965000,4.965000,4.965000,4.757802,0
2022-05-30,5.098000,5.098000,5.098000,5.098000,4.885251,110
2022-05-31,5.098000,5.098000,5.098000,5.098000,4.885251,0
2022-06-01,4.940000,4.940000,4.940000,4.940000,4.733845,10000
2022-06-02,4.826000,4.826000,4.826000,4.826000,4.710420,1000
2022-06-03,4.873000,4.873000,4.865000,4.865000,4.748486,4736
2022-06-06,4.970000,4.970000,4.970000,4.970000,4.850971,1000
2022-06-07,4.990000,4.990000,4.990000,4.990000,4.870492,200
2022-06-08,4.990000,4.990000,4.990000,4.990000,4.870492,0
