Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,4.325000,4.640000,4.325000,4.400000,4.400000,7066
2022-02-28,4.265000,4.625000,4.265000,4.600000,4.600000,15890
2022-03-01,4.500000,4.640000,4.455000,4.615000,4.615000,5890
2022-03-02,4.515000,4.550000,4.355000,4.535000,4.535000,2524
2022-03-03,4.625000,4.625000,4.435000,4.490000,4.490000,1792
2022-03-04,4.440000,4.440000,4.130000,4.210000,4.210000,21179
2022-03-07,4.000000,4.155000,3.810000,3.920000,3.920000,24132
2022-03-08,3.920000,3.995000,3.900000,3.900000,3.900000,12756
2022-03-09,3.980000,4.200000,3.910000,4.150000,4.150000,11285
2022-03-10,4.190000,4.190000,4.140000,4.140000,4.140000,1460
2022-03-11,4.140000,4.395000,4.140000,4.340000,4.340000,6815
2022-03-14,4.500000,4.500000,4.230000,4.440000,4.440000,2816
2022-03-15,4.300000,4.350000,4.300000,4.350000,4.350000,2084
2022-03-16,4.395000,4.395000,4.300000,4.320000,4.320000,12744
2022-03-17,4.315000,4.420000,4.310000,4.310000,4.310000,8507
2022-03-18,4.400000,4.450000,4.335000,4.400000,4.400000,6771
2022-03-21,4.400000,4.480000,4.370000,4.480000,4.480000,2444
2022-03-22,4.550000,4.740000,4.510000,4.530000,4.530000,22125
2022-03-23,4.595000,4.650000,4.550000,4.560000,4.560000,8774
2022-03-24,4.640000,4.690000,4.605000,4.605000,4.605000,3705
2022-03-25,4.610000,4.710000,4.610000,4.710000,4.710000,3435
2022-03-28,4.760000,4.765000,4.685000,4.750000,4.750000,8250
2022-03-29,4.750000,4.760000,4.535000,4.760000,4.760000,5000
2022-03-30,4.760000,4.760000,4.670000,4.670000,4.670000,1950
2022-03-31,4.650000,4.650000,4.435000,4.490000,4.490000,8153
2022-04-01,4.460000,4.535000,4.350000,4.350000,4.350000,18545
2022-04-04,4.320000,4.490000,4.320000,4.335000,4.335000,11909
2022-04-05,4.390000,4.600000,4.350000,4.350000,4.350000,16990
2022-04-06,4.355000,4.460000,4.320000,4.330000,4.330000,22185
2022-04-07,4.360000,4.365000,4.320000,4.320000,4.320000,3690
2022-04-08,4.325000,4.475000,4.275000,4.275000,4.275000,10740
2022-04-11,4.355000,4.355000,4.235000,4.235000,4.235000,17956
2022-04-12,4.245000,4.250000,4.205000,4.205000,4.205000,5079
