Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,102.500000,107.000000,102.000000,106.980003,106.980003,4357
2022-02-28,106.639999,110.400002,105.400002,110.160004,110.160004,1100
2022-03-01,112.300003,112.300003,106.620003,107.220001,107.220001,1643
2022-03-02,102.860001,105.099998,102.339996,104.919998,104.919998,3480
2022-03-03,106.339996,106.519997,101.839996,102.419998,102.419998,2547
2022-03-04,100.459999,104.519997,98.900002,99.230003,99.230003,2220
2022-03-07,95.610001,100.040001,92.980003,97.400002,97.400002,3603
2022-03-08,94.129997,97.050003,92.029999,94.849998,94.849998,2894
2022-03-09,97.199997,99.750000,97.199997,97.720001,97.720001,2939
2022-03-10,100.199997,100.199997,94.900002,94.900002,94.900002,1309
2022-03-11,96.650002,98.949997,96.000000,96.320000,96.320000,1083
2022-03-14,94.839996,95.930000,93.400002,93.790001,93.790001,2322
2022-03-15,92.349998,99.300003,91.190002,99.300003,99.300003,2161
2022-03-16,102.279999,104.500000,101.800003,103.739998,103.739998,1821
2022-03-17,104.980003,104.980003,99.309998,99.309998,99.309998,3280
2022-03-18,100.059998,104.040001,100.000000,103.000000,103.000000,754
2022-03-21,102.320000,106.139999,102.000000,105.419998,105.419998,1216
2022-03-22,106.000000,106.620003,103.900002,103.900002,103.900002,1572
2022-03-23,104.139999,106.599998,103.699997,105.820000,105.820000,1555
2022-03-24,104.120003,108.680000,103.900002,108.540001,108.540001,1160
2022-03-25,109.260002,109.580002,107.000000,107.559998,107.559998,803
2022-03-28,108.099998,109.000000,107.220001,107.879997,107.879997,1355
2022-03-29,110.040001,110.820000,106.879997,110.080002,110.080002,1878
2022-03-30,110.580002,112.059998,109.879997,110.519997,110.519997,1161
2022-03-31,106.699997,107.699997,100.500000,100.879997,100.879997,5893
2022-04-01,100.500000,100.779999,96.919998,97.599998,97.599998,3863
2022-04-04,97.300003,100.260002,96.919998,98.830002,98.830002,2560
2022-04-05,101.199997,101.760002,98.779999,99.419998,99.419998,1544
2022-04-06,99.129997,99.129997,93.709999,94.410004,94.410004,2669
2022-04-07,95.459999,96.169998,94.000000,94.139999,94.139999,1038
2022-04-08,96.330002,96.800003,92.750000,93.870003,93.870003,2096
2022-04-11,92.059998,92.099998,88.279999,88.529999,88.529999,3060
2022-04-12,89.059998,91.449997,88.500000,89.000000,89.000000,3360
2022-04-13,89.900002,90.400002,87.629997,90.190002,90.190002,1686
2022-04-14,90.440002,91.169998,88.330002,88.769997,88.769997,2522
2022-04-19,88.599998,89.779999,86.230003,89.290001,89.290001,2890
2022-04-20,88.769997,90.779999,87.230003,87.230003,87.230003,1186
2022-04-21,87.360001,87.459999,85.330002,85.750000,85.750000,1431
2022-04-22,84.970001,84.970001,80.739998,83.480003,83.480003,1829
2022-04-25,81.290001,84.900002,80.010002,84.349998,84.349998,2071
2022-04-26,84.970001,85.040001,80.300003,80.750000,80.750000,2671
2022-04-27,80.610001,83.120003,79.849998,80.849998,80.849998,2188
2022-04-28,82.309998,83.500000,81.169998,81.900002,81.900002,1300
2022-04-29,83.550003,85.580002,83.489998,83.849998,83.849998,1789
2022-05-02,82.800003,84.000000,80.879997,83.040001,83.040001,3013
2022-05-03,85.949997,87.279999,85.169998,85.949997,85.949997,1615
2022-05-04,92.599998,92.889999,87.629997,87.629997,87.629997,5917
2022-05-05,92.900002,93.480003,88.550003,89.150002,89.150002,1890
2022-05-06,88.769997,92.000000,86.699997,91.599998,91.599998,2355
2022-05-09,90.000000,90.000000,83.169998,83.169998,83.169998,1856
2022-05-10,83.260002,85.180000,82.199997,82.199997,82.199997,2783
2022-05-11,84.879997,87.360001,81.690002,86.529999,86.529999,2276
2022-05-12,83.680000,84.260002,80.620003,82.540001,82.540001,905
2022-05-13,85.239998,90.540001,85.239998,90.529999,90.529999,1829
2022-05-16,90.500000,94.080002,89.360001,93.180000,93.180000,2756
2022-05-17,90.680000,95.839996,90.680000,95.589996,95.589996,3770
2022-05-18,95.940002,99.000000,95.000000,95.000000,95.000000,4448
2022-05-19,90.980003,94.500000,89.559998,93.800003,93.800003,3014
2022-05-20,92.980003,94.089996,87.910004,88.290001,88.290001,2124
2022-05-23,88.900002,88.910004,85.279999,86.949997,86.949997,1606
2022-05-24,86.800003,87.500000,84.000000,84.279999,84.279999,2377
2022-05-25,85.169998,86.930000,84.419998,84.570000,84.570000,1475
2022-05-26,85.559998,92.230003,84.570000,91.959999,91.959999,1113
2022-05-27,92.080002,94.650002,91.930000,94.000000,94.000000,2001
2022-05-30,96.769997,97.260002,96.000000,96.050003,96.050003,2080
2022-05-31,96.110001,96.419998,94.209999,96.419998,96.419998,1217
2022-06-01,95.000000,96.500000,94.440002,96.290001,96.290001,670
2022-06-02,95.050003,99.500000,94.279999,99.209999,99.209999,1241
2022-06-03,100.160004,101.000000,95.639999,98.470001,98.470001,2280
2022-06-06,100.980003,102.000000,99.050003,99.050003,99.050003,1986
2022-06-07,98.830002,98.830002,97.720001,98.199997,98.199997,427
2022-06-08,97.919998,98.059998,97.110001,97.250000,97.250000,2034
2022-06-09,95.879997,97.459999,94.010002,95.459999,95.459999,1934
2022-06-10,94.500000,94.660004,89.790001,90.000000,90.000000,5972
2022-06-13,87.010002,88.290001,84.849998,85.349998,85.349998,5047
2022-06-14,85.349998,85.349998,82.800003,83.440002,83.440002,1378
2022-06-15,83.820000,84.800003,83.199997,83.300003,83.300003,416
2022-06-16,85.989998,85.989998,78.669998,78.830002,78.830002,4324
2022-06-17,79.000000,79.269997,76.500000,77.699997,77.699997,2155
2022-06-20,77.050003,78.330002,77.050003,77.970001,77.970001,460
2022-06-21,79.510002,81.139999,78.820000,81.139999,81.139999,1820
2022-06-22,80.000000,80.779999,77.389999,80.320000,80.320000,3731
2022-06-23,80.599998,80.599998,78.000000,78.489998,78.489998,1491
2022-06-24,79.139999,82.739998,79.040001,81.870003,81.870003,627
2022-06-27,82.000000,83.639999,81.279999,81.459999,81.459999,1681
2022-06-28,81.389999,82.180000,78.110001,78.110001,78.110001,2414
2022-06-29,77.010002,77.010002,73.599998,73.629997,73.629997,2490
2022-06-30,73.260002,74.639999,72.510002,73.449997,73.449997,2176
2022-07-01,72.489998,72.489998,70.220001,71.230003,71.230003,2466
2022-07-04,70.500000,70.500000,69.720001,69.949997,69.949997,655
2022-07-05,70.989998,72.629997,70.070000,72.629997,72.629997,1646
2022-07-06,71.010002,74.029999,71.010002,73.080002,73.080002,2121
2022-07-07,74.250000,77.720001,74.250000,77.459999,77.459999,2371
2022-07-08,77.730003,78.769997,76.989998,78.769997,78.769997,773
2022-07-11,77.500000,77.500000,76.089996,76.639999,76.639999,857
2022-07-12,76.230003,76.900002,74.500000,74.500000,74.500000,712
2022-07-13,75.540001,77.970001,74.199997,77.410004,77.410004,2691
2022-07-14,77.099998,78.419998,76.660004,76.830002,76.830002,2525
2022-07-15,78.639999,79.339996,78.059998,79.269997,79.269997,712
2022-07-18,81.059998,82.110001,80.900002,81.529999,81.529999,2097
2022-07-19,81.160004,83.089996,79.529999,82.989998,82.989998,979
2022-07-20,84.599998,87.000000,83.459999,87.000000,87.000000,1404
2022-07-21,87.269997,88.599998,86.779999,88.599998,88.599998,2257
2022-07-22,88.010002,89.010002,86.540001,86.540001,86.540001,995
2022-07-25,86.750000,86.750000,83.309998,83.610001,83.610001,2295
2022-07-26,85.500000,85.970001,84.830002,84.879997,84.879997,810
2022-07-27,85.500000,87.930000,85.500000,87.879997,87.879997,1508
2022-07-28,88.000000,89.349998,87.010002,89.349998,89.349998,1785
2022-07-29,89.230003,92.000000,89.150002,90.059998,90.059998,2491
2022-08-01,92.220001,95.580002,91.839996,94.769997,94.769997,1248
2022-08-02,94.980003,96.669998,90.430000,96.389999,96.389999,2545
2022-08-03,92.169998,97.000000,91.300003,95.070000,95.070000,5933
2022-08-04,95.010002,100.160004,95.010002,100.040001,100.040001,4180
2022-08-05,100.660004,102.099998,99.050003,100.279999,100.279999,4067
2022-08-08,100.300003,101.160004,97.139999,97.349998,97.349998,2245
2022-08-09,97.440002,97.440002,93.779999,93.779999,93.779999,1532
2022-08-10,93.760002,95.720001,92.959999,94.129997,94.129997,506
2022-08-11,96.059998,98.690002,95.940002,98.410004,98.410004,1040
2022-08-12,95.779999,98.699997,95.339996,98.040001,98.040001,2015
2022-08-16,99.139999,100.019997,96.519997,97.699997,97.699997,582
2022-08-17,98.000000,98.400002,95.599998,95.599998,95.599998,600
2022-08-18,96.180000,97.330002,96.180000,97.330002,97.330002,541
2022-08-19,99.680000,99.680000,96.099998,96.099998,96.099998,683
2022-08-22,96.480003,96.480003,93.279999,93.279999,93.279999,1236
2022-08-23,93.389999,93.930000,92.800003,93.070000,93.070000,594
2022-08-24,92.360001,93.410004,91.820000,93.410004,93.410004,1958
2022-08-25,92.820000,97.470001,92.480003,96.930000,96.930000,458
2022-08-26,96.919998,96.970001,93.449997,93.449997,93.449997,1371
2022-08-29,90.599998,90.809998,88.669998,88.669998,88.669998,1318
2022-08-30,89.779999,89.779999,85.940002,86.300003,86.300003,449
2022-08-31,87.540001,87.540001,83.580002,83.739998,83.739998,1933
2022-09-01,82.000000,83.000000,79.209999,79.410004,79.410004,1571
2022-09-02,82.639999,83.489998,81.730003,82.410004,82.410004,1039
2022-09-05,80.889999,81.199997,80.470001,80.680000,80.680000,303
2022-09-06,82.260002,82.440002,79.739998,80.430000,80.430000,1494
2022-09-07,79.660004,80.099998,78.510002,78.910004,78.910004,634
2022-09-08,80.000000,83.639999,80.000000,83.639999,83.639999,1132
2022-09-09,83.750000,84.500000,83.309998,84.230003,84.230003,1442
2022-09-12,84.389999,84.870003,83.019997,83.019997,83.019997,791
2022-09-13,83.699997,83.919998,78.410004,78.500000,78.500000,921
2022-09-14,78.050003,78.050003,76.250000,77.849998,77.849998,1475
2022-09-15,77.769997,77.769997,75.000000,75.699997,75.699997,1060
2022-09-16,75.440002,75.849998,75.000000,75.000000,75.000000,1412
2022-09-19,75.930000,77.260002,75.570000,76.559998,76.559998,667
2022-09-20,76.089996,76.690002,75.629997,76.000000,76.000000,727
2022-09-21,76.000000,77.250000,75.639999,77.250000,77.250000,196
2022-09-22,74.690002,74.690002,71.959999,72.029999,72.029999,677
