Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,29.100000,29.600000,28.900000,29.600000,5.620253,948
2022-02-28,29.500000,29.500000,28.900000,29.000000,5.506329,6886
2022-03-01,29.000000,29.500000,28.799999,29.500000,5.601265,810
2022-03-02,29.000000,29.200001,29.000000,29.100000,5.525316,420
2022-03-03,29.200001,29.900000,29.200001,29.900000,5.677215,3995
2022-03-04,29.100000,29.600000,28.500000,29.500000,5.601265,2813
2022-03-07,29.299999,29.299999,28.299999,29.299999,5.563291,2287
2022-03-08,29.299999,29.799999,29.299999,29.799999,5.658227,685
2022-03-09,29.500000,30.200001,29.400000,30.200001,5.734177,6269
2022-03-10,30.100000,30.100000,29.700001,30.000000,5.696202,632
2022-03-11,30.100000,30.500000,29.799999,30.500000,5.791139,2316
2022-03-14,30.200001,30.600000,30.100000,30.500000,5.791139,2195
2022-03-15,30.600000,30.600000,30.200001,30.299999,5.753164,2055
2022-03-16,30.700001,31.799999,30.700001,31.700001,6.018987,7378
2022-03-17,31.000000,33.000000,31.000000,32.799999,6.227847,8590
2022-03-18,32.799999,33.000000,32.299999,32.599998,6.189872,4224
2022-03-21,33.000000,34.400002,32.700001,34.000000,6.455696,5135
2022-03-22,34.000000,34.799999,34.000000,34.400002,6.531645,3989
2022-03-23,34.500000,36.000000,34.000000,34.599998,6.569619,4671
2022-03-24,34.500000,36.400002,34.500000,36.400002,6.911392,6681
2022-03-25,36.799999,36.799999,35.500000,36.599998,6.949366,4777
2022-03-28,37.000000,40.299999,36.599998,39.200001,7.443038,14504
2022-03-29,39.700001,39.799999,38.799999,39.099998,7.424049,15352
2022-03-30,39.099998,39.299999,37.099998,39.000000,7.405063,5007
2022-03-31,38.099998,39.400002,38.000000,39.099998,7.424049,7873
2022-04-01,39.500000,40.500000,39.400002,39.900002,7.575949,5319
2022-04-04,38.200001,38.799999,37.299999,37.700001,7.158227,19325
2022-04-05,37.500000,38.200001,36.799999,38.200001,7.253164,22959
2022-04-06,38.500000,38.500000,37.799999,38.299999,7.272151,22091
2022-04-07,38.500000,38.799999,37.799999,38.299999,7.272151,58723
2022-04-08,38.299999,39.000000,38.000000,38.799999,7.367088,2947
2022-04-11,38.799999,38.799999,37.599998,38.500000,7.310126,1589
2022-04-12,38.000000,38.599998,38.000000,38.000000,7.215189,101
2022-04-13,38.000000,38.299999,37.799999,38.000000,7.215189,14532
2022-04-14,38.500000,38.799999,38.000000,38.000000,7.215189,604
2022-04-19,38.000000,38.400002,37.500000,38.400002,7.291139,2039
2022-04-20,38.299999,38.299999,37.599998,38.000000,7.215189,1363
2022-04-21,38.200001,38.200001,37.700001,37.799999,7.177214,106
2022-04-22,37.299999,37.799999,37.299999,37.500000,7.120253,3473
2022-04-25,37.500000,38.200001,37.500000,38.200001,7.253164,2307
2022-04-26,38.200001,38.200001,37.799999,37.900002,7.196202,701
2022-04-27,38.500000,38.500000,36.900002,37.299999,7.082278,5882
2022-04-28,37.099998,38.000000,37.000000,37.900002,7.196202,869
2022-04-29,37.900002,38.099998,37.500000,37.500000,7.120253,201
2022-05-02,37.500000,38.000000,37.099998,38.000000,7.215189,2354
2022-05-03,37.299999,37.900002,37.099998,37.099998,7.044303,2250
2022-05-04,37.200001,37.599998,37.200001,37.599998,7.139239,150
2022-05-05,37.400002,37.599998,37.099998,37.200001,7.063291,1275
2022-05-06,37.099998,37.200001,36.799999,37.000000,7.025316,1853
2022-05-09,37.000000,37.000000,36.900002,37.000000,7.025316,1740
2022-05-10,36.799999,37.500000,36.799999,37.500000,7.120253,221
2022-05-11,36.799999,39.299999,36.799999,39.299999,7.462024,1595
2022-05-12,39.299999,39.299999,37.299999,37.700001,7.158227,2357
2022-05-13,37.700001,37.900002,37.400002,37.799999,7.177214,801
2022-05-16,37.400002,37.400002,37.400002,37.400002,7.101265,50
2022-05-17,37.700001,40.000000,37.700001,38.000000,7.215189,7583
2022-05-18,38.000000,38.299999,35.500000,35.500000,6.740506,2912
2022-05-19,35.799999,37.500000,35.799999,37.500000,7.120253,4769
2022-05-20,37.400002,37.400002,36.599998,37.200001,7.063291,1292
2022-05-23,36.599998,36.900002,36.500000,36.500000,6.930379,521
2022-05-24,36.900002,37.799999,36.900002,37.200001,7.063291,396
2022-05-25,37.299999,37.299999,36.900002,37.000000,7.025316,500
2022-05-26,36.799999,37.099998,36.500000,36.500000,6.930379,3363
2022-05-27,37.700001,37.700001,36.799999,36.799999,6.987341,1053
2022-05-30,36.700001,37.200001,36.700001,37.200001,7.063291,625
2022-05-31,37.200001,37.200001,37.200001,37.200001,7.063291,40
2022-06-01,37.200001,37.299999,36.599998,36.599998,6.949366,112
2022-06-02,37.000000,37.000000,37.000000,37.000000,7.025316,593
2022-06-03,37.400002,37.400002,37.400002,37.400002,7.101265,135
2022-06-06,37.400002,38.000000,37.400002,37.500000,7.120253,1882
2022-06-07,37.299999,37.400002,37.099998,37.299999,7.082278,365
2022-06-08,37.500000,38.200001,37.500000,37.500000,7.120253,2785
2022-06-09,37.299999,37.799999,36.700001,37.500000,7.120253,2270
2022-06-10,36.799999,37.500000,36.799999,37.500000,7.120253,2725
2022-06-13,37.500000,37.500000,37.000000,37.200001,7.063291,1150
2022-06-14,36.900002,36.900002,36.000000,36.900002,7.006329,3746
2022-06-15,36.900002,37.200001,36.900002,37.200001,7.063291,925
2022-06-16,36.500000,36.900002,36.299999,36.900002,7.006329,1105
2022-06-17,36.900002,37.500000,36.900002,37.500000,7.120253,4061
2022-06-20,36.900002,37.500000,36.900002,37.500000,7.120253,8289
2022-06-21,37.299999,37.900002,37.000000,37.900002,7.196202,569
2022-06-22,37.799999,37.900002,37.200001,37.799999,7.177214,711
2022-06-23,37.900002,37.900002,37.900002,37.900002,7.196202,13
2022-06-24,37.299999,37.700001,37.200001,37.500000,7.120253,642
2022-06-27,37.599998,38.000000,37.599998,38.000000,7.215189,1955
2022-06-28,38.000000,38.099998,37.799999,38.000000,7.215189,399
2022-06-29,37.900002,38.200001,37.700001,37.799999,7.177214,3582
