Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,3.140000,3.220000,2.986000,3.151000,2.955350,38468777
2022-02-28,3.000000,3.085000,2.952000,3.081000,2.889696,24106813
2022-03-01,3.066000,3.146000,2.874000,2.874000,2.695549,22416267
2022-03-02,2.861000,2.906000,2.790000,2.871000,2.692735,22399685
2022-03-03,2.870000,2.878000,2.657000,2.660000,2.494837,23366298
2022-03-04,2.610000,2.629000,2.425000,2.429000,2.278180,38580093
2022-03-07,2.280000,2.392000,2.126000,2.317000,2.173134,40787953
2022-03-08,2.270000,2.524000,2.259000,2.435000,2.283807,32985700
2022-03-09,2.561000,2.646000,2.457000,2.646000,2.481706,37256405
2022-03-10,2.678000,2.698000,2.468000,2.498000,2.342895,24537833
2022-03-11,2.520000,2.660000,2.464000,2.555000,2.396356,25979932
2022-03-14,2.620000,2.678000,2.569000,2.628000,2.464823,18372243
2022-03-15,2.580000,2.673000,2.551000,2.647000,2.482644,15844292
2022-03-16,2.716000,2.890000,2.690000,2.878000,2.699301,33568248
2022-03-17,2.886000,2.917000,2.684000,2.737000,2.567055,27744492
2022-03-18,2.738000,2.757000,2.674000,2.729000,2.559552,19535808
2022-03-21,2.716000,2.783000,2.695000,2.726000,2.556739,15300645
2022-03-22,2.718000,2.793000,2.713000,2.768000,2.596131,11855668
2022-03-23,2.780000,2.789000,2.716000,2.722000,2.552987,9399782
2022-03-24,2.721000,2.748000,2.692000,2.703000,2.535167,8935457
2022-03-25,2.690000,2.735000,2.678000,2.719000,2.550173,8109646
2022-03-28,2.740000,2.784000,2.709000,2.726000,2.556739,12305693
2022-03-29,2.770000,2.889000,2.747000,2.870000,2.691797,20286904
2022-03-30,2.842000,2.858000,2.743000,2.777000,2.604572,27413228
2022-03-31,2.762000,2.784000,2.662000,2.690000,2.522974,19011448
2022-04-01,2.702000,2.769000,2.679000,2.713000,2.544546,12545299
2022-04-04,2.716000,2.808000,2.673000,2.771000,2.598944,14811406
2022-04-05,2.757000,2.840000,2.748000,2.765000,2.593317,16903080
