Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,5.170000,5.170000,5.070000,5.100000,5.000971,56724
2022-02-28,5.140000,5.190000,4.965000,5.190000,5.089223,20954
2022-03-01,5.210000,5.210000,5.000000,5.000000,4.902913,26971
2022-03-02,5.010000,5.050000,4.900000,5.050000,4.951942,74132
2022-03-03,5.040000,5.100000,4.800000,4.930000,4.834272,67064
2022-03-04,4.750000,4.930000,4.565000,4.870000,4.775437,83986
2022-03-07,4.870000,4.870000,4.545000,4.720000,4.628349,67425
2022-03-08,4.800000,5.000000,4.630000,4.730000,4.638155,71533
2022-03-09,4.800000,4.910000,4.755000,4.900000,4.804854,88377
2022-03-10,4.950000,5.020000,4.930000,5.020000,4.922524,42675
2022-03-11,5.210000,5.210000,4.960000,5.000000,4.902913,37598
2022-03-14,5.160000,5.220000,5.110000,5.170000,5.069612,41580
2022-03-15,5.170000,5.190000,4.970000,4.970000,4.873495,23588
2022-03-16,5.140000,5.140000,5.080000,5.090000,4.991165,44797
2022-03-17,5.100000,5.300000,5.100000,5.200000,5.099029,35182
2022-03-18,5.330000,5.380000,5.120000,5.120000,5.020583,32307
2022-03-21,5.230000,5.460000,5.230000,5.420000,5.314757,34531
2022-03-22,5.480000,5.530000,5.280000,5.320000,5.216699,50824
2022-03-23,5.450000,5.490000,5.390000,5.480000,5.373592,26004
2022-03-24,5.480000,5.570000,5.400000,5.490000,5.383398,54640
2022-03-25,5.490000,5.540000,5.420000,5.540000,5.432427,43056
2022-03-28,5.540000,5.680000,5.540000,5.540000,5.432427,35009
2022-03-29,5.670000,5.820000,5.570000,5.710000,5.599126,44967
2022-03-30,5.600000,5.900000,5.600000,5.800000,5.687379,47731
2022-03-31,5.980000,6.000000,5.800000,5.830000,5.716796,40558
2022-04-01,6.050000,6.050000,5.860000,5.920000,5.805048,32996
2022-04-04,5.930000,6.040000,5.930000,5.980000,5.863883,29800
2022-04-05,6.040000,6.190000,6.000000,6.050000,5.932525,61562
2022-04-06,6.140000,6.150000,5.900000,5.920000,5.805048,29439
2022-04-07,6.050000,6.050000,5.870000,5.870000,5.756020,22727
2022-04-08,6.080000,6.090000,5.900000,5.900000,5.785437,21731
2022-04-11,5.840000,6.060000,5.840000,6.060000,5.942330,23692
2022-04-12,6.090000,6.110000,6.000000,6.050000,5.932525,42196
2022-04-13,6.120000,6.240000,6.070000,6.200000,6.079611,45303
2022-04-14,6.000000,6.210000,6.000000,6.200000,6.079611,73046
2022-04-19,6.190000,6.370000,6.170000,6.280000,6.158059,60060
