Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,3.050000,3.090000,3.010000,3.080000,2.943500,20199
2022-02-28,3.010000,3.030000,2.970000,3.000000,2.867045,25370
2022-03-01,2.990000,3.000000,2.960000,2.960000,2.828818,4672
2022-03-02,2.950000,2.950000,2.900000,2.930000,2.800148,14533
2022-03-03,2.920000,2.940000,2.880000,2.880000,2.752364,5572
2022-03-04,2.870000,2.880000,2.620000,2.700000,2.580341,86355
2022-03-07,2.640000,2.740000,2.490000,2.650000,2.532557,60740
2022-03-08,2.700000,2.820000,2.660000,2.670000,2.551671,9462
2022-03-09,2.720000,2.900000,2.700000,2.730000,2.609011,36420
2022-03-10,2.830000,2.900000,2.770000,2.850000,2.723693,63026
2022-03-11,2.840000,2.900000,2.830000,2.890000,2.761920,25160
2022-03-14,2.900000,2.990000,2.880000,2.990000,2.857489,55548
2022-03-15,2.910000,3.060000,2.910000,3.060000,2.924386,26689
2022-03-16,3.070000,3.150000,3.060000,3.060000,2.924386,42831
2022-03-17,3.090000,3.090000,3.010000,3.070000,2.933943,32640
2022-03-18,3.050000,3.050000,2.990000,3.000000,2.867045,35258
2022-03-21,3.040000,3.040000,2.960000,2.990000,2.857489,50310
2022-03-22,3.000000,3.050000,3.000000,3.030000,2.895716,63753
2022-03-23,3.040000,3.060000,3.000000,3.060000,2.924386,7218
2022-03-24,3.080000,3.080000,2.950000,3.000000,2.867045,468018
2022-03-25,2.990000,3.060000,2.990000,3.060000,2.924386,2940
2022-03-28,3.020000,3.060000,3.020000,3.060000,2.924386,17649
2022-03-29,3.070000,3.120000,3.020000,3.120000,2.981727,18774
2022-03-30,3.060000,3.090000,3.040000,3.060000,2.924386,8137
2022-03-31,3.090000,3.100000,3.060000,3.070000,2.933943,6689
2022-04-01,3.080000,3.080000,3.080000,3.080000,2.943500,4081
2022-04-04,3.080000,3.090000,3.060000,3.060000,2.924386,6858
2022-04-05,3.050000,3.070000,3.030000,3.040000,2.905273,10004
2022-04-06,3.030000,3.030000,2.970000,3.000000,2.867045,22701
2022-04-07,3.000000,3.040000,3.000000,3.040000,2.905273,7494
2022-04-08,3.050000,3.130000,3.030000,3.110000,2.972170,77390
2022-04-11,3.080000,3.090000,3.020000,3.020000,2.886159,22557
2022-04-12,3.090000,3.090000,3.040000,3.050000,2.914829,3286
2022-04-13,3.030000,3.060000,3.030000,3.050000,2.914829,2540
2022-04-14,3.060000,3.060000,3.020000,3.030000,2.895716,23656
2022-04-19,3.040000,3.060000,3.000000,3.030000,2.895716,53904
2022-04-20,3.030000,3.080000,3.030000,3.080000,2.943500,24420
2022-04-21,3.080000,3.080000,3.020000,3.040000,2.905273,49292
2022-04-22,3.040000,3.080000,3.040000,3.080000,2.943500,22984
2022-04-25,3.030000,3.050000,2.990000,3.000000,3.000000,38330
2022-04-26,3.000000,3.030000,2.950000,3.000000,3.000000,17208
2022-04-27,3.000000,3.020000,3.000000,3.020000,3.020000,41442
2022-04-28,3.020000,3.030000,2.990000,3.020000,3.020000,9887
2022-04-29,3.020000,3.050000,2.990000,3.030000,3.030000,14000
2022-05-02,2.980000,3.050000,2.980000,3.010000,3.010000,13400
2022-05-03,3.000000,3.030000,2.990000,3.010000,3.010000,2553
2022-05-04,3.020000,3.040000,3.010000,3.040000,3.040000,2874
2022-05-05,3.050000,3.070000,3.020000,3.060000,3.060000,14199
2022-05-06,3.060000,3.080000,3.020000,3.050000,3.050000,15641
2022-05-09,3.020000,3.030000,3.000000,3.030000,3.030000,6484
2022-05-10,3.030000,3.060000,3.010000,3.060000,3.060000,18737
