Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,6.600000,6.700000,6.350000,6.605000,5.637008,1465760
2022-02-28,6.475000,6.565000,6.270000,6.450000,5.504724,1200518
2022-03-01,6.465000,6.525000,6.310000,6.360000,5.427914,790617
2022-03-02,6.355000,6.485000,6.185000,6.485000,5.534595,1239351
2022-03-03,6.505000,6.505000,6.200000,6.200000,5.291362,928973
2022-03-04,6.170000,6.170000,5.840000,5.880000,5.018260,1420648
2022-03-07,5.725000,5.895000,5.160000,5.800000,4.949984,2178883
2022-03-08,5.760000,6.230000,5.690000,6.110000,5.214552,1277935
2022-03-09,6.110000,6.250000,5.855000,6.250000,5.334035,3209768
2022-03-10,6.330000,6.350000,6.030000,6.065000,5.176147,1013000
2022-03-11,6.090000,6.280000,6.075000,6.100000,5.206018,894445
2022-03-14,6.190000,6.390000,6.190000,6.350000,5.419379,1225760
2022-03-15,6.310000,6.360000,6.185000,6.265000,5.346836,956969
2022-03-16,6.365000,6.625000,6.365000,6.600000,5.632740,1292206
2022-03-17,6.670000,6.730000,6.460000,6.485000,5.534595,803476
2022-03-18,6.510000,6.540000,6.395000,6.540000,5.581534,886622
2022-03-21,6.610000,6.700000,6.460000,6.460000,5.513258,754597
2022-03-22,6.520000,6.710000,6.510000,6.600000,5.632740,800083
2022-03-23,6.680000,6.680000,6.575000,6.640000,5.666878,602549
2022-03-24,6.665000,6.730000,6.635000,6.670000,5.692482,944806
2022-03-25,6.725000,6.785000,6.605000,6.730000,5.743688,916045
2022-03-28,6.785000,6.840000,6.680000,6.685000,5.705283,954750
2022-03-29,6.750000,6.875000,6.670000,6.825000,5.824766,1002577
2022-03-30,6.800000,6.855000,6.725000,6.825000,5.824766,588306
2022-03-31,6.850000,6.900000,6.735000,6.735000,5.747956,721014
2022-04-01,6.780000,6.860000,6.690000,6.840000,5.837567,1127939
2022-04-04,6.920000,7.010000,6.875000,6.965000,5.944248,1083315
2022-04-05,6.965000,7.045000,6.860000,7.005000,5.978386,1084901
2022-04-06,7.000000,7.015000,6.645000,6.730000,5.743688,1325263
2022-04-07,6.785000,6.915000,6.700000,6.805000,5.807697,924463
2022-04-08,6.870000,6.990000,6.870000,6.950000,5.931446,645323
2022-04-11,6.965000,7.005000,6.890000,6.940000,5.922912,982597
2022-04-12,6.880000,6.965000,6.655000,6.865000,5.858903,1858937
2022-04-13,6.865000,6.920000,6.765000,6.880000,5.871706,1020585
2022-04-14,6.935000,6.985000,6.770000,6.925000,5.910110,1626870
2022-04-19,6.350000,6.430000,6.075000,6.155000,5.824470,2083546
2022-04-20,6.200000,6.215000,6.100000,6.110000,5.781887,749312
2022-04-21,6.140000,6.140000,6.060000,6.080000,5.753498,677242
2022-04-22,6.030000,6.095000,6.015000,6.050000,5.725109,706800
2022-04-25,6.000000,6.050000,5.910000,5.965000,5.644673,605329
