Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,3.240000,3.290000,3.200000,3.280000,3.252203,19787
2022-02-28,3.300000,3.380000,3.280000,3.370000,3.341440,14261
2022-03-01,3.340000,3.380000,3.300000,3.380000,3.351356,21258
2022-03-02,3.370000,3.670000,3.360000,3.670000,3.638898,23233
2022-03-03,3.620000,3.620000,3.490000,3.520000,3.490170,45850
2022-03-04,3.500000,3.520000,3.360000,3.490000,3.460424,33153
2022-03-07,3.440000,3.470000,3.340000,3.450000,3.420763,57910
2022-03-08,3.450000,3.490000,3.450000,3.460000,3.430678,8355
2022-03-09,3.510000,3.680000,3.500000,3.610000,3.579407,17565
2022-03-10,3.570000,3.570000,3.470000,3.500000,3.470339,27404
2022-03-11,3.510000,3.530000,3.490000,3.530000,3.500085,14999
2022-03-14,3.560000,3.640000,3.500000,3.500000,3.470339,28053
2022-03-15,3.530000,3.530000,3.490000,3.520000,3.490170,11615
2022-03-16,3.540000,3.580000,3.500000,3.510000,3.480254,22763
2022-03-17,3.510000,3.540000,3.510000,3.530000,3.500085,6945
2022-03-18,3.550000,3.590000,3.520000,3.590000,3.559576,12453
2022-03-21,3.610000,3.630000,3.580000,3.630000,3.599237,17267
2022-03-22,3.590000,3.620000,3.570000,3.590000,3.559576,7503
2022-03-23,3.610000,3.610000,3.580000,3.590000,3.559576,12318
2022-03-24,3.590000,3.640000,3.510000,3.510000,3.480254,31537
2022-03-25,3.560000,3.570000,3.510000,3.510000,3.480254,12895
2022-03-28,3.540000,3.560000,3.540000,3.560000,3.529830,4153
2022-03-29,3.560000,3.580000,3.520000,3.520000,3.490170,4352
2022-03-30,3.550000,3.600000,3.550000,3.600000,3.569491,15267
2022-03-31,3.600000,3.690000,3.520000,3.520000,3.490170,42476
2022-04-01,3.550000,3.600000,3.520000,3.520000,3.490170,14778
2022-04-04,3.520000,3.540000,3.500000,3.500000,3.470339,7570
2022-04-05,3.530000,3.560000,3.510000,3.510000,3.480254,26219
2022-04-06,3.510000,3.530000,3.480000,3.510000,3.480254,11204
2022-04-07,3.510000,3.550000,3.500000,3.510000,3.480254,9316
2022-04-08,3.520000,3.570000,3.510000,3.520000,3.490170,3870
2022-04-11,3.590000,3.600000,3.590000,3.590000,3.559576,6851
2022-04-12,3.600000,3.600000,3.540000,3.580000,3.549661,2015
2022-04-13,3.550000,3.580000,3.540000,3.570000,3.539746,6440
2022-04-14,3.590000,3.600000,3.540000,3.580000,3.549661,17356
2022-04-19,3.570000,3.750000,3.560000,3.630000,3.599237,43268
2022-04-20,3.600000,3.620000,3.580000,3.580000,3.549661,2033
2022-04-21,3.610000,3.650000,3.610000,3.620000,3.589322,6020
2022-04-22,3.610000,3.620000,3.580000,3.620000,3.589322,8021
2022-04-25,3.640000,3.650000,3.570000,3.580000,3.549661,10211
2022-04-26,3.570000,3.610000,3.570000,3.600000,3.569491,5085
2022-04-27,3.600000,3.600000,3.550000,3.550000,3.519915,14232
2022-04-28,3.550000,3.580000,3.550000,3.580000,3.549661,977
2022-04-29,3.550000,3.570000,3.550000,3.550000,3.519915,4017
2022-05-02,3.570000,3.570000,3.570000,3.570000,3.539746,3902
2022-05-03,3.580000,3.580000,3.540000,3.540000,3.510000,23866
2022-05-04,3.580000,3.590000,3.580000,3.580000,3.549661,736
2022-05-05,3.590000,3.600000,3.550000,3.550000,3.519915,11019
2022-05-06,3.590000,3.590000,3.550000,3.550000,3.519915,3525
2022-05-09,3.540000,3.550000,3.450000,3.540000,3.510000,25060
2022-05-10,3.540000,3.620000,3.540000,3.550000,3.519915,19669
2022-05-11,3.590000,3.610000,3.560000,3.560000,3.529830,5453
2022-05-12,3.550000,3.550000,3.470000,3.470000,3.440593,22076
2022-05-13,3.510000,3.570000,3.510000,3.520000,3.490170,9573
2022-05-16,3.560000,3.660000,3.450000,3.450000,3.420763,123001
2022-05-17,3.500000,3.500000,3.460000,3.500000,3.470339,17101
2022-05-18,3.520000,3.550000,3.500000,3.530000,3.500085,33897
2022-05-19,3.540000,3.550000,3.510000,3.530000,3.500085,8482
2022-05-20,3.540000,3.710000,3.500000,3.540000,3.510000,321861
2022-05-23,3.540000,3.540000,3.480000,3.500000,3.500000,13924
2022-05-24,3.520000,3.530000,3.500000,3.500000,3.500000,1243
2022-05-25,3.520000,3.520000,3.500000,3.500000,3.500000,1219
2022-05-26,3.520000,3.520000,3.520000,3.520000,3.520000,2717
2022-05-27,3.530000,3.590000,3.510000,3.510000,3.510000,18950
2022-05-30,3.540000,3.540000,3.510000,3.510000,3.510000,3861
2022-05-31,3.530000,3.550000,3.530000,3.550000,3.550000,3508
2022-06-01,3.570000,3.580000,3.530000,3.530000,3.530000,3165
2022-06-02,3.570000,3.580000,3.550000,3.550000,3.550000,2384
2022-06-03,3.550000,3.590000,3.540000,3.570000,3.570000,11801
2022-06-06,3.590000,3.600000,3.560000,3.570000,3.570000,12584
2022-06-07,3.590000,3.590000,3.560000,3.570000,3.570000,8782
2022-06-08,3.560000,3.570000,3.540000,3.540000,3.540000,11574
2022-06-09,3.530000,3.590000,3.520000,3.520000,3.520000,18565
2022-06-10,3.520000,3.560000,3.500000,3.560000,3.560000,20986
2022-06-13,3.530000,3.610000,3.530000,3.610000,3.610000,533
2022-06-14,3.560000,3.600000,3.460000,3.520000,3.520000,126530
2022-06-15,3.540000,3.550000,3.540000,3.550000,3.550000,4743
2022-06-16,3.510000,3.600000,3.510000,3.570000,3.570000,19479
2022-06-17,3.590000,3.860000,3.590000,3.800000,3.800000,181783
2022-06-20,3.740000,3.900000,3.710000,3.720000,3.720000,53624
2022-06-21,3.720000,3.770000,3.560000,3.560000,3.560000,30882
2022-06-22,3.600000,3.610000,3.590000,3.590000,3.590000,4286
2022-06-23,3.580000,3.630000,3.560000,3.560000,3.560000,2558
2022-06-24,3.610000,3.700000,3.600000,3.600000,3.600000,6507
2022-06-27,3.600000,3.600000,3.570000,3.570000,3.570000,1283
2022-06-28,3.570000,3.620000,3.540000,3.540000,3.540000,1797
2022-06-29,3.560000,3.570000,3.560000,3.570000,3.570000,3015
2022-06-30,3.600000,3.720000,3.590000,3.670000,3.670000,12041
2022-07-01,3.700000,3.720000,3.600000,3.600000,3.600000,7222
2022-07-04,3.640000,3.650000,3.560000,3.600000,3.600000,12401
2022-07-05,3.590000,3.650000,3.480000,3.480000,3.480000,20244
2022-07-06,3.530000,3.630000,3.530000,3.540000,3.540000,8872
2022-07-07,3.590000,3.620000,3.560000,3.580000,3.580000,7536
2022-07-08,3.620000,3.630000,3.540000,3.540000,3.540000,16448
2022-07-11,3.540000,3.590000,3.500000,3.590000,3.590000,7266
2022-07-12,3.600000,3.600000,3.480000,3.480000,3.480000,54707
2022-07-13,3.480000,3.540000,3.480000,3.530000,3.530000,3091
2022-07-14,3.520000,3.540000,3.460000,3.510000,3.510000,5824
2022-07-15,3.520000,3.540000,3.500000,3.540000,3.540000,3101
2022-07-18,3.540000,3.590000,3.540000,3.540000,3.540000,55869
2022-07-19,3.550000,3.570000,3.540000,3.550000,3.550000,6241
2022-07-20,3.540000,3.570000,3.520000,3.520000,3.520000,95832
2022-07-21,3.520000,3.570000,3.510000,3.550000,3.550000,2526
2022-07-22,3.580000,3.600000,3.550000,3.550000,3.550000,9760
2022-07-25,3.590000,3.600000,3.510000,3.510000,3.510000,9482
2022-07-26,3.550000,3.580000,3.550000,3.560000,3.560000,5057
2022-07-27,3.560000,3.590000,3.550000,3.580000,3.580000,1883
2022-07-28,3.590000,3.600000,3.530000,3.600000,3.600000,4000
2022-07-29,3.620000,3.620000,3.550000,3.550000,3.550000,2921
2022-08-01,3.510000,3.570000,3.510000,3.570000,3.570000,5425
2022-08-02,3.600000,3.600000,3.520000,3.520000,3.520000,6653
2022-08-03,3.520000,3.650000,3.510000,3.510000,3.510000,91040
2022-08-04,3.550000,3.550000,3.520000,3.520000,3.520000,14703
2022-08-05,3.520000,3.520000,3.520000,3.520000,3.520000,2060
2022-08-08,3.520000,3.560000,3.520000,3.560000,3.560000,3705
2022-08-09,3.560000,3.560000,3.560000,3.560000,3.560000,0
2022-08-10,3.530000,3.600000,3.530000,3.580000,3.580000,15155
2022-08-11,3.580000,3.580000,3.560000,3.560000,3.560000,302
2022-08-12,3.560000,3.560000,3.550000,3.550000,3.550000,1725
2022-08-16,3.600000,3.600000,3.560000,3.600000,3.600000,3014
2022-08-17,3.600000,3.600000,3.550000,3.550000,3.550000,6584
2022-08-18,3.550000,3.550000,3.540000,3.540000,3.540000,237
2022-08-19,3.540000,3.580000,3.520000,3.520000,3.520000,2502
2022-08-22,3.530000,3.530000,3.520000,3.530000,3.530000,7300
2022-08-23,3.520000,3.530000,3.520000,3.530000,3.530000,3113
2022-08-24,3.540000,3.570000,3.540000,3.570000,3.570000,306
2022-08-25,3.580000,3.580000,3.520000,3.540000,3.540000,7668
2022-08-26,3.540000,3.560000,3.530000,3.560000,3.560000,2849
2022-08-29,3.550000,3.590000,3.550000,3.590000,3.590000,3593
2022-08-30,3.550000,3.580000,3.550000,3.550000,3.550000,522
2022-08-31,3.560000,3.580000,3.560000,3.560000,3.560000,2090
2022-09-01,3.560000,3.580000,3.520000,3.520000,3.520000,15497
2022-09-02,3.540000,3.600000,3.520000,3.530000,3.530000,19303
2022-09-05,3.570000,3.570000,3.520000,3.520000,3.520000,6709
2022-09-06,3.560000,3.570000,3.520000,3.530000,3.530000,3868
2022-09-07,3.540000,3.540000,3.500000,3.500000,3.500000,18576
2022-09-08,3.540000,3.560000,3.510000,3.510000,3.510000,4916
2022-09-09,3.500000,3.520000,3.460000,3.500000,3.500000,23288
2022-09-12,3.500000,3.500000,3.460000,3.480000,3.480000,154495
2022-09-13,3.460000,3.520000,3.460000,3.500000,3.500000,17175
2022-09-14,3.500000,3.510000,3.430000,3.500000,3.500000,14605
2022-09-15,3.500000,3.510000,3.460000,3.460000,3.460000,17850
2022-09-16,3.430000,3.430000,3.070000,3.410000,3.410000,540258
2022-09-19,3.410000,3.490000,3.410000,3.490000,3.490000,22164
2022-09-20,3.480000,3.480000,3.430000,3.480000,3.480000,2972
2022-09-21,3.430000,3.480000,3.420000,3.480000,3.480000,3986
2022-09-22,3.460000,3.530000,3.460000,3.530000,3.530000,6737
2022-09-23,3.480000,3.510000,3.450000,3.500000,3.500000,10857
2022-09-26,3.450000,3.460000,3.450000,3.450000,3.450000,3900
2022-09-27,3.460000,3.460000,3.460000,3.460000,3.460000,900
2022-09-28,3.420000,3.490000,3.420000,3.490000,3.490000,3535
2022-09-29,3.490000,3.600000,3.450000,3.600000,3.600000,23272
2022-09-30,3.620000,3.640000,3.520000,3.640000,3.640000,31730
2022-10-03,3.630000,3.640000,3.590000,3.590000,3.590000,15089
2022-10-04,3.630000,3.650000,3.600000,3.600000,3.600000,6137
2022-10-05,3.640000,3.670000,3.610000,3.640000,3.640000,5347
2022-10-06,3.640000,3.640000,3.590000,3.630000,3.630000,5259
2022-10-07,3.630000,3.650000,3.590000,3.590000,3.590000,6381
2022-10-10,3.630000,3.660000,3.600000,3.600000,3.600000,9749
2022-10-11,3.590000,3.630000,3.570000,3.630000,3.630000,5513
2022-10-12,3.650000,3.650000,3.600000,3.600000,3.600000,2109
2022-10-13,3.620000,3.620000,3.550000,3.550000,3.550000,6377
2022-10-14,3.590000,3.590000,3.550000,3.560000,3.560000,3018
2022-10-17,3.570000,3.570000,3.530000,3.570000,3.570000,2649
2022-10-18,3.530000,3.570000,3.530000,3.570000,3.570000,3116
2022-10-19,3.560000,3.570000,3.560000,3.570000,3.570000,54
2022-10-20,3.570000,3.570000,3.570000,3.570000,3.570000,0
2022-10-21,3.540000,3.560000,3.520000,3.560000,3.560000,10633
2022-10-24,3.540000,3.540000,3.520000,3.530000,3.530000,13661
2022-10-25,3.570000,3.650000,3.540000,3.590000,3.590000,29993
2022-10-26,3.600000,3.640000,3.560000,3.630000,3.630000,3324
2022-10-27,3.660000,3.700000,3.600000,3.660000,3.660000,5915
2022-10-28,3.620000,3.620000,3.610000,3.610000,3.610000,1301
2022-10-31,3.600000,3.600000,3.600000,3.600000,3.600000,1500
2022-11-01,3.590000,3.640000,3.580000,3.590000,3.590000,4882
2022-11-02,3.620000,3.640000,3.570000,3.570000,3.570000,3244
2022-11-03,3.580000,3.610000,3.570000,3.570000,3.570000,1092
2022-11-04,3.620000,3.630000,3.580000,3.610000,3.610000,7333
2022-11-07,3.610000,3.610000,3.610000,3.610000,3.610000,0
2022-11-08,3.610000,3.650000,3.560000,3.560000,3.560000,8504
2022-11-09,3.560000,3.640000,3.550000,3.610000,3.610000,13297
2022-11-10,3.630000,3.730000,3.630000,3.710000,3.710000,35165
2022-11-11,3.740000,3.930000,3.660000,3.900000,3.900000,148742
2022-11-14,3.900000,4.080000,3.840000,4.000000,4.000000,228117
2022-11-15,3.940000,4.100000,3.940000,3.990000,3.990000,43721
2022-11-16,3.930000,4.000000,3.870000,3.900000,3.900000,27325
2022-11-17,3.900000,3.940000,3.860000,3.940000,3.940000,11104
2022-11-18,3.940000,3.990000,3.890000,3.900000,3.900000,30168
2022-11-21,3.900000,3.900000,3.850000,3.890000,3.890000,11421
2022-11-22,3.850000,3.890000,3.810000,3.890000,3.890000,12348
2022-11-23,3.840000,3.890000,3.730000,3.890000,3.890000,50017
2022-11-24,3.850000,3.900000,3.810000,3.820000,3.820000,25748
2022-11-25,3.830000,3.850000,3.810000,3.850000,3.850000,3276
2022-11-28,3.860000,3.900000,3.790000,3.890000,3.890000,23456
