Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,1.752000,1.764000,1.716000,1.740000,1.601109,131312
2022-02-28,1.694000,1.718000,1.650000,1.680000,1.545898,290390
2022-03-01,1.704000,1.752000,1.672000,1.682000,1.547738,179629
2022-03-02,1.660000,1.698000,1.636000,1.646000,1.514612,186496
2022-03-03,1.664000,1.678000,1.632000,1.636000,1.505410,195940
2022-03-04,1.622000,1.624000,1.528000,1.546000,1.422594,312535
2022-03-07,1.512000,1.590000,1.418000,1.552000,1.428115,349056
2022-03-08,1.530000,1.648000,1.530000,1.640000,1.509091,417935
2022-03-09,1.620000,1.698000,1.620000,1.686000,1.551419,232917
2022-03-10,1.684000,1.690000,1.648000,1.660000,1.527494,95606
2022-03-11,1.636000,1.722000,1.636000,1.642000,1.510931,144426
2022-03-14,1.620000,1.724000,1.620000,1.718000,1.580865,169945
2022-03-15,1.730000,1.736000,1.678000,1.714000,1.577184,184608
2022-03-16,1.710000,1.770000,1.710000,1.740000,1.601109,93859
2022-03-17,1.740000,1.768000,1.730000,1.732000,1.593747,74635
2022-03-18,1.720000,1.746000,1.696000,1.712000,1.575344,115514
2022-03-21,1.714000,1.800000,1.714000,1.772000,1.630554,229667
2022-03-22,1.780000,1.820000,1.780000,1.812000,1.667361,145426
2022-03-23,1.796000,1.814000,1.770000,1.796000,1.652639,111356
2022-03-24,1.800000,1.800000,1.760000,1.760000,1.619512,261659
2022-03-25,1.764000,2.010000,1.762000,2.010000,1.849557,1535158
2022-03-28,2.035000,2.120000,1.908000,2.050000,1.886364,2303043
2022-03-29,2.080000,2.170000,2.050000,2.095000,1.927772,1110225
2022-03-30,2.090000,2.200000,2.050000,2.200000,2.024390,1203439
2022-03-31,2.200000,2.275000,2.180000,2.245000,2.065798,853412
2022-04-01,2.245000,2.265000,2.180000,2.215000,2.038193,519821
2022-04-04,2.215000,2.265000,2.190000,2.230000,2.051996,488837
2022-04-05,2.240000,2.250000,2.190000,2.240000,2.061197,358597
2022-04-06,2.230000,2.235000,2.160000,2.195000,2.019789,308615
2022-04-07,2.215000,2.245000,2.190000,2.195000,2.019789,268063
2022-04-08,2.225000,2.295000,2.190000,2.290000,2.107206,513055
2022-04-11,2.300000,2.340000,2.255000,2.280000,2.098004,455707
2022-04-12,2.285000,2.330000,2.230000,2.305000,2.121009,516825
2022-04-13,2.285000,2.340000,2.280000,2.305000,2.121009,358721
2022-04-14,2.335000,2.335000,2.270000,2.300000,2.116408,291517
2022-04-19,2.275000,2.335000,2.275000,2.305000,2.121009,293308
2022-04-20,2.290000,2.335000,2.290000,2.330000,2.144013,313832
2022-04-21,2.340000,2.340000,2.300000,2.310000,2.125610,292128
