Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,3.700000,3.800000,3.680000,3.740000,3.647654,11961
2022-02-28,3.740000,3.770000,3.650000,3.650000,3.559877,10095
2022-03-01,3.690000,3.700000,3.610000,3.610000,3.520864,3766
2022-03-02,3.630000,3.690000,3.620000,3.650000,3.559877,4737
2022-03-03,3.700000,3.700000,3.630000,3.700000,3.608642,7804
2022-03-04,3.610000,3.650000,3.580000,3.640000,3.550124,26281
2022-03-07,3.470000,3.550000,3.430000,3.450000,3.364815,6020
2022-03-08,3.420000,3.650000,3.420000,3.550000,3.462346,6322
2022-03-09,3.630000,3.800000,3.630000,3.790000,3.696420,2634
2022-03-10,3.730000,3.800000,3.690000,3.700000,3.608642,8415
2022-03-11,3.780000,3.850000,3.750000,3.790000,3.696420,13437
2022-03-14,3.900000,3.990000,3.850000,3.900000,3.803704,8120
2022-03-15,3.830000,4.040000,3.830000,4.000000,3.901235,10205
2022-03-16,4.060000,4.070000,3.950000,3.960000,3.862222,17711
2022-03-17,3.990000,4.000000,3.920000,4.000000,3.901235,5066
2022-03-18,4.000000,4.000000,3.970000,4.000000,3.901235,3097
2022-03-21,4.020000,4.030000,4.000000,4.000000,3.901235,610
2022-03-22,4.040000,4.080000,4.040000,4.080000,3.979259,5054
2022-03-23,4.050000,4.090000,4.030000,4.050000,3.950000,6675
2022-03-24,4.030000,4.030000,3.980000,3.980000,3.881728,2492
2022-03-25,4.040000,4.090000,3.990000,4.090000,3.989012,5283
2022-03-28,4.080000,4.160000,4.060000,4.140000,4.037778,6492
2022-03-29,4.180000,4.180000,4.090000,4.090000,3.989012,8240
2022-03-30,4.090000,4.090000,4.090000,4.090000,3.989012,86
2022-03-31,4.190000,4.190000,4.040000,4.070000,3.969507,25179
2022-04-01,4.100000,4.280000,4.020000,4.180000,4.076790,28585
2022-04-04,4.250000,4.260000,4.150000,4.150000,4.047531,5487
2022-04-05,4.110000,4.190000,4.110000,4.110000,4.008519,2470
2022-04-06,4.130000,4.130000,4.130000,4.130000,4.028025,281
2022-04-07,4.080000,4.080000,4.010000,4.010000,3.910988,2153
2022-04-08,4.010000,4.080000,4.000000,4.000000,3.901235,4398
2022-04-11,4.000000,4.120000,3.970000,4.020000,3.920741,15302
2022-04-12,4.000000,4.040000,3.800000,3.830000,3.735432,15653
2022-04-13,3.860000,3.920000,3.860000,3.920000,3.823210,8437
2022-04-14,3.920000,3.920000,3.920000,3.920000,3.823210,2550
2022-04-19,3.880000,3.900000,3.880000,3.900000,3.803704,2165
2022-04-20,3.900000,3.900000,3.900000,3.900000,3.803704,0
2022-04-21,3.920000,3.980000,3.920000,3.980000,3.881728,15084
2022-04-22,3.980000,4.000000,3.980000,4.000000,3.901235,2411
2022-04-25,3.980000,3.980000,3.980000,3.980000,3.881728,10
2022-04-26,3.950000,3.950000,3.950000,3.950000,3.852469,200
2022-04-27,3.960000,3.990000,3.960000,3.970000,3.871975,15307
2022-04-28,3.970000,3.980000,3.970000,3.980000,3.881728,4546
2022-04-29,3.970000,4.000000,3.950000,3.970000,3.871975,25132
2022-05-02,3.970000,4.100000,3.970000,4.050000,3.950000,15531
2022-05-03,4.050000,4.220000,4.050000,4.220000,4.115802,22523
2022-05-04,4.200000,4.200000,4.150000,4.150000,4.047531,1554
2022-05-05,4.200000,4.250000,4.120000,4.120000,4.018271,12796
2022-05-06,4.110000,4.140000,3.950000,4.130000,4.028025,10907
2022-05-09,4.140000,4.140000,4.010000,4.070000,3.969507,1562
2022-05-10,4.010000,4.050000,4.000000,4.000000,3.901235,25979
2022-05-11,4.050000,4.140000,3.940000,3.940000,3.842716,12688
2022-05-12,4.000000,4.050000,3.970000,4.000000,3.901235,59487
2022-05-13,4.020000,4.090000,3.910000,4.080000,3.979259,49365
2022-05-16,4.080000,4.080000,4.050000,4.050000,3.950000,1333
2022-05-17,4.100000,4.100000,4.000000,4.000000,3.901235,14845
2022-05-18,4.000000,4.050000,4.000000,4.040000,3.940247,11038
2022-05-19,4.000000,4.040000,4.000000,4.040000,3.940247,83879
2022-05-20,4.010000,4.050000,4.000000,4.050000,3.950000,686
2022-05-23,4.000000,4.040000,4.000000,4.000000,4.000000,37689
2022-05-24,4.000000,4.050000,4.000000,4.040000,4.040000,5635
2022-05-25,4.050000,4.050000,4.000000,4.030000,4.030000,22502
2022-05-26,4.000000,4.030000,4.000000,4.000000,4.000000,5128
2022-05-27,4.030000,4.030000,3.980000,3.980000,3.980000,3171
2022-05-30,4.010000,4.080000,4.010000,4.080000,4.080000,5105
2022-05-31,4.040000,4.050000,4.000000,4.050000,4.050000,31830
2022-06-01,4.000000,4.080000,4.000000,4.050000,4.050000,3181
2022-06-02,4.050000,4.080000,4.020000,4.080000,4.080000,1154
2022-06-03,4.020000,4.050000,4.000000,4.050000,4.050000,1431
2022-06-06,4.000000,4.050000,4.000000,4.040000,4.040000,39689
2022-06-07,4.000000,4.030000,4.000000,4.000000,4.000000,1393
2022-06-08,4.040000,4.040000,4.000000,4.000000,4.000000,17432
2022-06-09,4.040000,4.040000,4.000000,4.030000,4.030000,9193
2022-06-10,4.000000,4.040000,4.000000,4.000000,4.000000,32945
2022-06-13,4.000000,4.040000,3.640000,3.720000,3.720000,408505
2022-06-14,3.710000,3.740000,3.690000,3.740000,3.740000,1701
2022-06-15,3.790000,3.790000,3.790000,3.790000,3.790000,3000
2022-06-16,3.790000,3.790000,3.790000,3.790000,3.790000,0
2022-06-17,3.680000,3.770000,3.680000,3.770000,3.770000,2658
2022-06-20,3.770000,3.780000,3.680000,3.780000,3.780000,232
2022-06-21,3.790000,3.790000,3.720000,3.790000,3.790000,701
2022-06-22,3.850000,3.850000,3.690000,3.690000,3.690000,1963
2022-06-23,3.740000,3.740000,3.660000,3.740000,3.740000,1702
2022-06-24,3.700000,3.730000,3.700000,3.730000,3.730000,1050
2022-06-27,3.720000,3.720000,3.650000,3.650000,3.650000,700
2022-06-28,3.700000,3.700000,3.700000,3.700000,3.700000,199
2022-06-29,3.640000,3.700000,3.640000,3.700000,3.700000,209
2022-06-30,3.600000,3.700000,3.550000,3.700000,3.700000,5011
2022-07-01,3.700000,3.780000,3.610000,3.700000,3.700000,6202
2022-07-04,3.750000,3.760000,3.750000,3.760000,3.760000,450
2022-07-05,3.770000,3.770000,3.700000,3.750000,3.750000,1388
2022-07-06,3.700000,3.730000,3.700000,3.720000,3.720000,1001
2022-07-07,3.700000,3.750000,3.700000,3.710000,3.710000,2437
2022-07-08,3.740000,3.740000,3.730000,3.730000,3.730000,305
2022-07-11,3.750000,3.770000,3.700000,3.770000,3.770000,4757
2022-07-12,3.780000,3.780000,3.700000,3.700000,3.700000,1051
2022-07-13,3.790000,3.790000,3.700000,3.750000,3.750000,1018
2022-07-14,3.700000,3.730000,3.610000,3.700000,3.700000,36861
2022-07-15,3.700000,3.880000,3.700000,3.870000,3.870000,30851
2022-07-18,3.950000,4.060000,3.930000,3.970000,3.970000,9922
2022-07-19,4.050000,4.140000,4.000000,4.010000,4.010000,57521
2022-07-20,4.040000,4.040000,3.850000,3.850000,3.850000,3245
2022-07-21,3.890000,3.940000,3.800000,3.940000,3.940000,3962
2022-07-22,3.940000,3.940000,3.940000,3.940000,3.940000,0
2022-07-25,3.940000,3.990000,3.940000,3.990000,3.990000,1994
2022-07-26,3.990000,3.990000,3.990000,3.990000,3.990000,0
2022-07-27,4.000000,4.060000,4.000000,4.060000,4.060000,4803
2022-07-28,4.000000,4.040000,3.960000,4.040000,4.040000,492
2022-07-29,4.040000,4.040000,3.970000,4.040000,4.040000,1041
2022-08-01,4.070000,4.070000,4.010000,4.010000,4.010000,906
2022-08-02,4.050000,4.050000,4.000000,4.020000,4.020000,253
2022-08-03,4.050000,4.050000,3.950000,3.950000,3.950000,136
2022-08-04,3.990000,3.990000,3.870000,3.910000,3.910000,2482
2022-08-05,3.940000,3.940000,3.850000,3.850000,3.850000,294
2022-08-08,3.950000,3.950000,3.710000,3.800000,3.800000,12164
2022-08-09,3.840000,3.840000,3.800000,3.800000,3.800000,34
2022-08-10,3.850000,3.850000,3.850000,3.850000,3.850000,23
2022-08-11,3.760000,3.850000,3.750000,3.780000,3.780000,6758
2022-08-12,3.820000,3.820000,3.750000,3.750000,3.750000,173
