Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,2.860000,3.120000,2.650000,2.710000,2.710000,160000
2022-02-28,2.840000,2.990000,2.740000,2.800000,2.800000,114000
2022-03-01,2.840000,2.930000,2.750000,2.760000,2.760000,43000
2022-03-02,2.700000,2.780000,2.610000,2.640000,2.640000,20000
2022-03-03,2.620000,2.620000,2.380000,2.420000,2.420000,51000
2022-03-04,2.350000,2.400000,2.290000,2.320000,2.320000,21000
2022-03-07,2.340000,2.470000,2.240000,2.370000,2.370000,37000
2022-03-08,2.410000,2.590000,2.410000,2.520000,2.520000,24000
2022-03-09,2.570000,2.670000,2.440000,2.480000,2.480000,29000
2022-03-10,2.430000,2.460000,2.390000,2.390000,2.390000,14000
2022-03-11,2.390000,2.420000,2.370000,2.370000,2.370000,3000
2022-03-14,2.420000,2.440000,2.390000,2.430000,2.430000,9000
2022-03-15,2.430000,2.430000,2.430000,2.430000,2.430000,0
2022-03-16,2.470000,2.470000,2.320000,2.380000,2.380000,22000
2022-03-17,2.360000,2.400000,2.360000,2.400000,2.400000,3000
2022-03-18,2.360000,2.440000,2.360000,2.400000,2.400000,5000
2022-03-21,2.330000,2.360000,2.300000,2.360000,2.360000,11000
2022-03-22,2.300000,2.320000,2.290000,2.320000,2.320000,4000
2022-03-23,2.300000,2.340000,2.300000,2.340000,2.340000,3000
2022-03-24,2.300000,2.330000,2.290000,2.290000,2.290000,4000
2022-03-25,2.290000,2.330000,2.240000,2.330000,2.330000,12000
2022-03-28,2.290000,2.290000,2.290000,2.290000,2.290000,1000
2022-03-29,2.240000,2.250000,2.220000,2.250000,2.250000,3000
2022-03-30,2.240000,2.240000,2.240000,2.240000,2.240000,1000
2022-03-31,2.250000,2.280000,2.250000,2.280000,2.280000,2000
2022-04-01,2.310000,2.310000,2.310000,2.310000,2.310000,1000
2022-04-04,2.260000,2.320000,2.260000,2.260000,2.260000,5000
2022-04-05,2.250000,2.250000,2.250000,2.250000,2.250000,2000
2022-04-06,2.280000,2.340000,2.280000,2.330000,2.330000,4000
2022-04-07,2.300000,2.300000,2.260000,2.260000,2.260000,4000
2022-04-08,2.240000,2.240000,2.230000,2.240000,2.240000,3000
2022-04-11,2.240000,2.240000,2.240000,2.240000,2.240000,0
2022-04-12,2.240000,2.280000,2.240000,2.250000,2.250000,4000
2022-04-13,2.240000,2.240000,2.240000,2.240000,2.240000,2000
2022-04-14,2.200000,2.200000,2.200000,2.200000,2.200000,2000
2022-04-19,2.200000,2.200000,2.160000,2.160000,2.160000,5000
2022-04-20,2.160000,2.190000,2.160000,2.190000,2.190000,6000
2022-04-21,2.190000,2.190000,2.190000,2.190000,2.190000,0
2022-04-22,2.190000,2.190000,2.190000,2.190000,2.190000,0
2022-04-25,2.180000,2.180000,2.180000,2.180000,2.180000,1000
2022-04-26,2.120000,2.200000,2.120000,2.200000,2.200000,2000
2022-04-27,2.140000,2.140000,2.140000,2.140000,2.140000,1000
2022-04-28,2.160000,2.160000,2.140000,2.140000,2.140000,2000
2022-04-29,2.140000,2.140000,2.140000,2.140000,2.140000,1000
2022-05-02,2.140000,2.140000,2.140000,2.140000,2.140000,0
2022-05-03,2.140000,2.140000,2.140000,2.140000,2.140000,0
2022-05-04,2.090000,2.120000,2.050000,2.120000,2.120000,4000
2022-05-05,2.120000,2.120000,2.090000,2.090000,2.090000,2000
2022-05-06,2.090000,2.090000,2.090000,2.090000,2.090000,0
2022-05-09,2.040000,2.050000,1.960000,1.985000,1.985000,13000
2022-05-10,1.920000,1.920000,1.775000,1.775000,1.775000,35000
2022-05-11,1.725000,1.845000,1.645000,1.840000,1.840000,25000
2022-05-12,1.880000,1.895000,1.845000,1.895000,1.895000,4000
2022-05-13,1.870000,1.870000,1.865000,1.865000,1.865000,7000
2022-05-16,1.885000,1.910000,1.885000,1.910000,1.910000,5000
2022-05-17,1.920000,1.950000,1.910000,1.950000,1.950000,8000
2022-05-18,1.900000,1.900000,1.900000,1.900000,1.900000,1000
2022-05-19,1.900000,1.900000,1.900000,1.900000,1.900000,0
2022-05-20,1.900000,1.900000,1.900000,1.900000,1.900000,1000
2022-05-23,1.890000,1.890000,1.850000,1.850000,1.850000,10000
2022-05-24,1.885000,1.910000,1.850000,1.910000,1.910000,14000
2022-05-25,1.935000,1.935000,1.935000,1.935000,1.935000,1000
2022-05-26,1.910000,1.910000,1.910000,1.910000,1.910000,2000
2022-05-27,1.905000,1.905000,1.900000,1.900000,1.900000,10000
2022-05-30,1.880000,1.880000,1.880000,1.880000,1.880000,1000
2022-05-31,1.880000,1.920000,1.880000,1.920000,1.920000,2000
2022-06-01,1.920000,1.920000,1.920000,1.920000,1.920000,0
2022-06-02,1.920000,1.920000,1.920000,1.920000,1.920000,0
2022-06-03,1.920000,1.920000,1.920000,1.920000,1.920000,0
2022-06-06,1.900000,1.900000,1.900000,1.900000,1.900000,3000
2022-06-07,1.900000,1.900000,1.870000,1.880000,1.880000,12000
2022-06-08,1.880000,1.900000,1.880000,1.900000,1.900000,3000
2022-06-09,1.890000,1.890000,1.885000,1.890000,1.890000,5000
2022-06-10,1.860000,1.860000,1.860000,1.860000,1.860000,1000
2022-06-13,1.840000,1.840000,1.820000,1.820000,1.820000,3000
2022-06-14,1.770000,1.770000,1.700000,1.770000,1.770000,10000
2022-06-15,1.770000,1.770000,1.770000,1.770000,1.770000,0
2022-06-16,1.770000,1.770000,1.770000,1.770000,1.770000,0
2022-06-17,1.770000,1.770000,1.770000,1.770000,1.770000,0
2022-06-20,1.725000,1.765000,1.700000,1.765000,1.765000,5000
2022-06-21,1.765000,1.810000,1.765000,1.810000,1.810000,5000
2022-06-22,1.800000,1.830000,1.800000,1.830000,1.830000,2000
2022-06-23,1.785000,1.830000,1.780000,1.830000,1.830000,8000
2022-06-24,1.830000,1.975000,1.830000,1.940000,1.940000,23000
2022-06-27,1.985000,2.330000,1.985000,2.330000,2.330000,43000
2022-06-28,2.700000,2.700000,2.210000,2.240000,2.240000,81000
2022-06-29,2.240000,2.320000,2.180000,2.230000,2.230000,23000
2022-06-30,2.150000,2.150000,2.030000,2.110000,2.110000,18000
2022-07-01,2.150000,2.240000,2.120000,2.160000,2.160000,12000
2022-07-04,2.160000,2.310000,2.130000,2.180000,2.180000,45000
2022-07-05,2.210000,2.210000,2.120000,2.120000,2.120000,10000
2022-07-06,2.170000,2.230000,2.170000,2.190000,2.190000,12000
2022-07-07,2.170000,2.210000,2.140000,2.170000,2.170000,9000
2022-07-08,2.120000,2.160000,2.050000,2.110000,2.110000,13000
2022-07-11,2.110000,2.150000,2.100000,2.100000,2.100000,4000
2022-07-12,2.150000,2.190000,2.100000,2.110000,2.110000,11000
2022-07-13,2.090000,2.100000,2.060000,2.100000,2.100000,6000
2022-07-14,2.090000,2.090000,2.010000,2.050000,2.050000,13000
2022-07-15,2.080000,2.080000,2.080000,2.080000,2.080000,1000
2022-07-18,2.080000,2.090000,2.080000,2.090000,2.090000,3000
2022-07-19,2.120000,2.120000,2.120000,2.120000,2.120000,1000
2022-07-20,2.100000,2.100000,2.070000,2.090000,2.090000,3000
2022-07-21,2.040000,2.120000,2.040000,2.120000,2.120000,2000
2022-07-22,2.100000,2.140000,2.100000,2.140000,2.140000,2000
2022-07-25,2.130000,2.130000,2.130000,2.130000,2.130000,1000
2022-07-26,2.170000,2.340000,2.170000,2.230000,2.230000,16000
2022-07-27,2.270000,2.470000,2.240000,2.470000,2.470000,21000
2022-07-28,2.500000,2.500000,2.350000,2.350000,2.350000,10000
