Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,3.670000,3.950000,3.670000,3.950000,3.950000,9500
2022-02-28,3.840000,3.900000,3.840000,3.900000,3.900000,1500
2022-03-01,3.790000,3.790000,3.780000,3.780000,3.780000,2000
2022-03-02,3.780000,3.780000,3.780000,3.780000,3.780000,0
2022-03-03,3.750000,3.795000,3.605000,3.755000,3.755000,8500
2022-03-04,3.650000,3.650000,3.310000,3.390000,3.390000,18000
2022-03-07,3.500000,3.500000,3.265000,3.440000,3.440000,11500
2022-03-08,3.415000,3.415000,3.390000,3.395000,3.395000,2500
2022-03-09,3.490000,3.660000,3.490000,3.660000,3.660000,8000
2022-03-10,3.500000,3.535000,3.485000,3.530000,3.530000,16000
2022-03-11,3.525000,3.835000,3.440000,3.835000,3.835000,41000
2022-03-14,3.745000,3.850000,3.660000,3.660000,3.660000,20000
2022-03-15,3.615000,3.695000,3.615000,3.695000,3.695000,1000
2022-03-16,3.600000,3.695000,3.600000,3.695000,3.695000,3000
2022-03-17,3.750000,3.750000,3.750000,3.750000,3.750000,2000
2022-03-18,3.780000,3.780000,3.780000,3.780000,3.780000,1500
2022-03-21,3.740000,3.755000,3.700000,3.755000,3.755000,2000
2022-03-22,3.720000,3.720000,3.605000,3.700000,3.700000,3500
2022-03-23,3.700000,3.700000,3.700000,3.700000,3.700000,0
2022-03-24,3.755000,3.800000,3.700000,3.740000,3.740000,8500
2022-03-25,3.740000,3.740000,3.740000,3.740000,3.740000,500
2022-03-28,3.745000,3.745000,3.745000,3.745000,3.745000,500
2022-03-29,3.720000,3.720000,3.720000,3.720000,3.720000,1000
2022-03-30,3.620000,3.645000,3.525000,3.645000,3.645000,19500
2022-03-31,3.675000,3.675000,3.675000,3.675000,3.675000,3500
2022-04-01,3.680000,3.680000,3.680000,3.680000,3.680000,500
2022-04-04,3.670000,3.670000,3.600000,3.620000,3.620000,2500
2022-04-05,3.650000,3.680000,3.650000,3.680000,3.680000,5000
2022-04-06,3.600000,3.600000,3.600000,3.600000,3.600000,1000
2022-04-07,3.680000,3.680000,3.600000,3.655000,3.655000,4000
2022-04-08,3.655000,3.655000,3.655000,3.655000,3.655000,0
2022-04-11,3.560000,3.560000,3.485000,3.545000,3.545000,5500
2022-04-12,3.540000,3.540000,3.540000,3.540000,3.540000,500
2022-04-13,3.580000,3.580000,3.540000,3.540000,3.540000,1000
2022-04-14,3.540000,3.540000,3.540000,3.540000,3.540000,0
2022-04-19,3.620000,3.620000,3.620000,3.620000,3.620000,500
2022-04-20,3.620000,3.620000,3.620000,3.620000,3.620000,0
2022-04-21,3.620000,3.620000,3.620000,3.620000,3.620000,0
2022-04-22,3.500000,3.595000,3.500000,3.595000,3.595000,1000
2022-04-25,3.460000,3.590000,3.440000,3.590000,3.590000,3500
2022-04-26,3.460000,3.565000,3.460000,3.565000,3.565000,1000
2022-04-27,3.455000,3.475000,3.385000,3.410000,3.410000,9500
2022-04-28,3.350000,3.350000,3.350000,3.350000,3.350000,1000
2022-04-29,3.300000,3.400000,3.300000,3.400000,3.400000,2500
2022-05-02,3.380000,3.380000,3.380000,3.380000,3.380000,500
2022-05-03,3.400000,3.400000,3.400000,3.400000,3.400000,5500
2022-05-04,3.290000,3.425000,3.290000,3.315000,3.315000,11000
2022-05-05,3.305000,3.305000,3.210000,3.300000,3.300000,15000
2022-05-06,3.335000,3.395000,3.230000,3.395000,3.395000,4000
2022-05-09,3.230000,3.230000,3.230000,3.230000,3.230000,3500
