Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,1.660000,1.765000,1.660000,1.725000,1.708879,21500
2022-02-28,1.725000,1.740000,1.655000,1.720000,1.703925,14000
2022-03-01,1.750000,1.755000,1.670000,1.740000,1.723738,61000
2022-03-02,1.740000,1.795000,1.740000,1.775000,1.758411,18000
2022-03-03,1.745000,1.745000,1.735000,1.735000,1.718785,14500
2022-03-04,1.705000,1.720000,1.615000,1.670000,1.654392,48000
2022-03-07,1.610000,1.645000,1.530000,1.600000,1.585047,89000
2022-03-08,1.595000,1.660000,1.575000,1.660000,1.644486,27000
2022-03-09,1.700000,1.730000,1.655000,1.720000,1.703925,22000
2022-03-10,1.700000,1.715000,1.655000,1.710000,1.694019,12000
2022-03-11,1.720000,1.720000,1.720000,1.720000,1.703925,6000
2022-03-14,1.690000,1.700000,1.675000,1.675000,1.659346,10000
2022-03-15,1.680000,1.710000,1.680000,1.700000,1.684112,7500
2022-03-16,1.720000,1.765000,1.680000,1.760000,1.743551,103500
2022-03-17,1.760000,1.770000,1.750000,1.750000,1.733645,19500
2022-03-18,1.760000,1.770000,1.760000,1.760000,1.743551,5500
2022-03-21,1.785000,1.800000,1.715000,1.760000,1.743551,61000
2022-03-22,1.790000,1.800000,1.770000,1.780000,1.763365,17500
2022-03-23,1.800000,1.810000,1.740000,1.770000,1.753458,19500
2022-03-24,1.740000,1.785000,1.735000,1.770000,1.753458,13000
2022-03-25,1.800000,1.810000,1.765000,1.780000,1.763365,31000
2022-03-28,1.780000,1.810000,1.755000,1.780000,1.763365,15000
2022-03-29,1.780000,1.805000,1.780000,1.780000,1.763365,2500
2022-03-30,1.810000,1.815000,1.730000,1.800000,1.783178,38000
2022-03-31,1.800000,1.805000,1.780000,1.780000,1.763365,11500
2022-04-01,1.750000,1.750000,1.750000,1.750000,1.733645,1500
2022-04-04,1.780000,1.785000,1.650000,1.755000,1.738598,63000
2022-04-05,1.750000,1.795000,1.750000,1.785000,1.768318,6500
2022-04-06,1.745000,1.785000,1.745000,1.780000,1.763365,6000
2022-04-07,1.750000,1.750000,1.750000,1.750000,1.733645,1500
2022-04-08,1.780000,1.780000,1.730000,1.750000,1.733645,18500
2022-04-11,1.740000,1.775000,1.715000,1.740000,1.723738,19000
2022-04-12,1.740000,1.740000,1.740000,1.740000,1.723738,0
2022-04-13,1.735000,1.780000,1.735000,1.775000,1.758411,10500
2022-04-14,1.780000,1.800000,1.780000,1.780000,1.763365,13000
2022-04-19,1.780000,1.780000,1.760000,1.780000,1.763365,26000
2022-04-20,1.795000,1.795000,1.780000,1.795000,1.778224,6500
2022-04-21,1.795000,1.860000,1.795000,1.835000,1.817851,26000
2022-04-22,1.840000,1.880000,1.820000,1.830000,1.812897,45000
2022-04-25,1.810000,1.810000,1.780000,1.780000,1.763365,2500
2022-04-26,1.800000,1.810000,1.710000,1.775000,1.758411,119000
2022-04-27,1.750000,1.800000,1.750000,1.800000,1.783178,10500
2022-04-28,1.785000,1.805000,1.785000,1.805000,1.788131,29500
2022-04-29,1.820000,1.875000,1.820000,1.860000,1.842617,39000
2022-05-02,1.855000,1.860000,1.820000,1.840000,1.822804,24500
2022-05-03,1.850000,1.910000,1.850000,1.900000,1.882243,35000
