Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,3.620000,3.800000,3.620000,3.680000,3.680000,9200
2022-02-28,3.540000,3.700000,3.520000,3.700000,3.700000,8000
2022-03-01,3.640000,3.760000,3.640000,3.700000,3.700000,4600
2022-03-02,3.700000,3.700000,3.640000,3.640000,3.640000,2600
2022-03-03,3.580000,3.600000,3.520000,3.520000,3.520000,6000
2022-03-04,3.400000,3.520000,3.220000,3.400000,3.400000,13200
2022-03-07,3.540000,3.540000,3.100000,3.200000,3.200000,21800
2022-03-08,3.340000,3.500000,3.340000,3.420000,3.420000,6800
2022-03-09,3.600000,3.680000,3.600000,3.620000,3.620000,6400
2022-03-10,3.500000,3.540000,3.440000,3.540000,3.540000,9000
2022-03-11,3.600000,3.640000,3.580000,3.600000,3.600000,4000
2022-03-14,3.600000,3.700000,3.600000,3.700000,3.700000,2800
2022-03-15,3.640000,3.720000,3.640000,3.700000,3.700000,2800
2022-03-16,3.700000,3.700000,3.640000,3.640000,3.640000,1400
2022-03-17,3.660000,3.700000,3.600000,3.680000,3.680000,4200
2022-03-18,3.600000,3.600000,3.600000,3.600000,3.600000,2400
2022-03-21,3.600000,3.600000,3.600000,3.600000,3.600000,400
2022-03-22,3.620000,3.680000,3.620000,3.620000,3.620000,3200
2022-03-23,3.640000,3.640000,3.520000,3.560000,3.560000,4800
2022-03-24,3.580000,3.660000,3.560000,3.640000,3.640000,4000
2022-03-25,3.720000,3.820000,3.620000,3.700000,3.700000,31800
2022-03-28,3.580000,3.660000,3.520000,3.620000,3.620000,7400
2022-03-29,3.700000,3.760000,3.600000,3.600000,3.600000,4800
2022-03-30,3.640000,3.720000,3.640000,3.720000,3.720000,2400
2022-03-31,3.660000,3.680000,3.640000,3.640000,3.640000,3400
2022-04-01,3.700000,3.750000,3.650000,3.700000,3.700000,2200
2022-04-04,3.650000,3.740000,3.640000,3.740000,3.740000,600
2022-04-05,3.660000,3.660000,3.590000,3.660000,3.660000,13600
2022-04-06,3.580000,3.580000,3.570000,3.570000,3.570000,2000
2022-04-07,3.560000,3.700000,3.560000,3.580000,3.580000,3200
2022-04-08,3.680000,3.680000,3.580000,3.650000,3.650000,3400
2022-04-11,3.660000,3.670000,3.570000,3.660000,3.660000,3800
2022-04-12,3.590000,3.600000,3.590000,3.600000,3.600000,6800
2022-04-13,3.560000,3.660000,3.530000,3.660000,3.660000,3400
2022-04-14,3.680000,3.680000,3.560000,3.580000,3.580000,3200
