Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,4.012000,4.462000,4.012000,4.462000,4.462000,31947
2022-02-28,4.572000,5.090000,4.400000,5.030000,5.030000,204594
2022-03-01,5.340000,5.355000,4.924000,5.060000,5.060000,127066
2022-03-02,4.950000,5.180000,4.700000,5.180000,5.180000,62405
2022-03-03,5.085000,5.180000,4.880000,4.880000,4.880000,39442
2022-03-04,4.772000,4.880000,4.606000,4.702000,4.702000,44598
2022-03-07,4.598000,4.788000,4.302000,4.630000,4.630000,21332
2022-03-08,4.732000,4.834000,4.670000,4.680000,4.680000,8637
2022-03-09,4.780000,4.958000,4.712000,4.958000,4.958000,14617
2022-03-10,4.980000,5.115000,4.630000,4.946000,4.946000,23375
2022-03-11,5.025000,5.050000,4.862000,5.050000,5.050000,20958
2022-03-14,5.000000,5.110000,4.996000,4.996000,4.996000,34320
2022-03-15,4.884000,4.948000,4.850000,4.854000,4.854000,2780
2022-03-16,4.890000,4.934000,4.800000,4.892000,4.892000,10787
2022-03-17,4.962000,5.000000,4.698000,5.000000,5.000000,12709
2022-03-18,5.075000,5.075000,4.782000,4.782000,4.782000,20744
2022-03-21,4.830000,5.010000,4.750000,4.992000,4.992000,9104
2022-03-22,5.050000,5.050000,4.946000,4.950000,4.950000,9253
2022-03-23,5.040000,5.045000,4.910000,5.030000,5.030000,11662
2022-03-24,5.030000,5.030000,4.918000,5.025000,5.025000,8505
2022-03-25,4.968000,5.080000,4.960000,5.030000,5.030000,12919
2022-03-28,5.050000,5.050000,4.920000,4.922000,4.922000,9420
2022-03-29,4.852000,4.998000,4.852000,4.870000,4.870000,10132
2022-03-30,4.970000,5.075000,4.850000,4.870000,4.870000,35633
2022-03-31,4.972000,5.070000,4.850000,4.860000,4.860000,36768
2022-04-01,4.960000,4.960000,4.830000,4.880000,4.880000,22306
2022-04-04,4.890000,4.970000,4.835000,4.890000,4.890000,11057
2022-04-05,4.850000,4.995000,4.850000,4.975000,4.975000,6818
2022-04-06,4.890000,5.050000,4.880000,5.050000,5.050000,85418
2022-04-07,5.040000,5.060000,4.980000,5.060000,5.060000,27709
2022-04-08,5.020000,5.150000,4.860000,4.860000,4.860000,43589
2022-04-11,4.855000,5.150000,4.855000,4.990000,4.990000,17585
2022-04-12,5.050000,5.050000,4.935000,5.040000,5.040000,9256
2022-04-13,4.960000,5.110000,4.960000,5.050000,5.050000,4343
2022-04-14,4.940000,5.080000,4.940000,5.080000,5.080000,8255
2022-04-19,5.080000,5.080000,4.920000,5.030000,5.030000,2873
2022-04-20,4.935000,5.030000,4.930000,4.995000,4.995000,6834
2022-04-21,5.050000,5.050000,4.955000,5.030000,5.030000,3494
2022-04-22,4.920000,5.110000,4.920000,5.060000,5.060000,27066
2022-04-25,4.950000,5.050000,4.925000,5.050000,5.050000,5479
2022-04-26,4.965000,4.965000,4.940000,4.940000,4.940000,3664
2022-04-27,4.920000,4.940000,4.755000,4.820000,4.820000,16517
2022-04-28,4.820000,4.900000,4.765000,4.865000,4.865000,2110
2022-04-29,4.810000,4.845000,4.780000,4.800000,4.800000,4202
2022-05-02,4.770000,4.770000,4.295000,4.560000,4.560000,18972
2022-05-03,4.635000,4.755000,4.635000,4.725000,4.725000,8647
2022-05-04,4.750000,4.820000,4.580000,4.655000,4.655000,7409
2022-05-05,4.750000,4.750000,4.550000,4.575000,4.575000,10621
2022-05-06,4.500000,4.530000,4.300000,4.300000,4.300000,16734
2022-05-09,4.210000,4.295000,4.070000,4.085000,4.085000,18936
2022-05-10,4.165000,4.165000,3.990000,4.020000,4.020000,17847
2022-05-11,4.100000,4.300000,3.940000,4.260000,4.260000,23395
2022-05-12,4.250000,4.255000,4.090000,4.090000,4.090000,5370
2022-05-13,4.155000,4.350000,4.145000,4.350000,4.350000,21832
2022-05-16,4.350000,4.525000,4.255000,4.440000,4.440000,9725
2022-05-17,4.525000,4.625000,4.440000,4.490000,4.490000,6264
2022-05-18,4.580000,4.650000,4.470000,4.640000,4.640000,14353
2022-05-19,4.555000,4.770000,4.550000,4.765000,4.765000,21487
2022-05-20,4.740000,4.950000,4.570000,4.570000,4.570000,22980
2022-05-23,4.640000,4.940000,4.600000,4.870000,4.870000,29839
2022-05-24,4.810000,4.900000,4.770000,4.770000,4.770000,20067
2022-05-25,4.860000,5.030000,4.675000,4.755000,4.755000,40637
2022-05-26,4.750000,4.950000,4.750000,4.945000,4.945000,6714
2022-05-27,4.935000,4.940000,4.870000,4.920000,4.920000,11198
2022-05-30,4.945000,4.950000,4.900000,4.950000,4.950000,6732
2022-05-31,4.880000,5.030000,4.880000,4.995000,4.995000,6953
2022-06-01,4.995000,4.995000,4.890000,4.955000,4.955000,2278
2022-06-02,4.995000,4.995000,4.910000,4.910000,4.910000,450
2022-06-03,4.880000,4.880000,4.880000,4.880000,4.880000,590
2022-06-06,4.800000,4.815000,4.750000,4.800000,4.800000,7420
2022-06-07,4.895000,4.895000,4.770000,4.875000,4.875000,6017
2022-06-08,4.820000,4.820000,4.640000,4.690000,4.690000,13500
2022-06-09,4.670000,4.760000,4.650000,4.650000,4.650000,41614
2022-06-10,4.650000,4.705000,4.190000,4.390000,4.390000,44396
2022-06-13,4.295000,4.350000,4.110000,4.250000,4.250000,11315
2022-06-14,4.300000,4.310000,4.090000,4.090000,4.090000,7136
2022-06-15,4.070000,4.405000,4.030000,4.110000,4.110000,56674
2022-06-16,4.030000,4.030000,3.900000,3.970000,3.970000,27783
2022-06-17,3.960000,4.040000,3.780000,3.780000,3.780000,87532
2022-06-20,3.780000,3.860000,3.745000,3.800000,3.800000,8131
2022-06-21,3.800000,3.865000,3.730000,3.730000,3.730000,160376
2022-06-22,3.720000,3.905000,3.565000,3.630000,3.630000,33610
2022-06-23,3.660000,3.750000,3.660000,3.720000,3.720000,7700
2022-06-24,3.650000,3.700000,3.620000,3.700000,3.700000,24621
2022-06-27,3.675000,3.775000,3.650000,3.650000,3.650000,27801
2022-06-28,3.650000,3.725000,3.645000,3.690000,3.690000,25685
2022-06-29,3.695000,3.695000,3.650000,3.650000,3.650000,2601
2022-06-30,3.650000,3.650000,3.510000,3.510000,3.510000,14442
2022-07-01,3.570000,3.585000,3.455000,3.455000,3.455000,8504
2022-07-04,3.450000,3.600000,3.450000,3.500000,3.500000,32222
2022-07-05,3.435000,3.545000,3.435000,3.460000,3.460000,14499
2022-07-06,3.495000,3.525000,3.400000,3.500000,3.500000,34539
2022-07-07,3.490000,3.500000,3.490000,3.500000,3.500000,16605
2022-07-08,3.460000,3.575000,3.425000,3.490000,3.490000,125086
2022-07-11,3.630000,3.630000,3.565000,3.595000,3.595000,16100
2022-07-12,3.510000,3.640000,3.510000,3.640000,3.640000,13387
2022-07-13,3.685000,3.845000,3.510000,3.510000,3.510000,29216
2022-07-14,3.445000,3.595000,3.445000,3.530000,3.530000,19434
2022-07-15,3.580000,3.700000,3.505000,3.675000,3.675000,16693
2022-07-18,3.750000,3.855000,3.700000,3.795000,3.795000,10571
2022-07-19,3.810000,3.840000,3.720000,3.785000,3.785000,6060
2022-07-20,3.840000,3.970000,3.830000,3.900000,3.900000,7576
2022-07-21,3.770000,3.930000,3.770000,3.870000,3.870000,7256
2022-07-22,3.950000,4.030000,3.880000,4.030000,4.030000,6307
2022-07-25,4.115000,4.200000,4.110000,4.170000,4.170000,11610
2022-07-26,4.230000,4.230000,4.200000,4.230000,4.230000,1270
2022-07-27,4.225000,4.320000,4.140000,4.250000,4.250000,6257
2022-07-28,4.180000,4.230000,4.160000,4.200000,4.200000,10357
2022-07-29,4.225000,4.300000,4.165000,4.300000,4.300000,8856
2022-08-01,4.300000,4.350000,4.155000,4.155000,4.155000,6147
2022-08-02,4.100000,4.420000,4.065000,4.330000,4.330000,13940
2022-08-03,4.420000,4.500000,4.260000,4.275000,4.275000,15600
2022-08-04,4.365000,4.440000,4.190000,4.230000,4.230000,10018
2022-08-05,4.290000,4.290000,4.160000,4.285000,4.285000,6594
2022-08-08,4.200000,4.280000,4.195000,4.280000,4.280000,9000
2022-08-09,4.240000,4.300000,4.200000,4.200000,4.200000,4430
2022-08-10,4.260000,4.290000,4.220000,4.290000,4.290000,3920
2022-08-11,4.220000,4.285000,4.220000,4.285000,4.285000,305
2022-08-12,4.255000,4.280000,4.200000,4.200000,4.200000,3715
2022-08-16,4.200000,4.290000,4.020000,4.040000,4.040000,5385
2022-08-17,4.090000,4.090000,3.990000,3.990000,3.990000,6655
2022-08-18,3.905000,4.030000,3.905000,3.995000,3.995000,3672
2022-08-19,4.055000,4.055000,3.925000,4.000000,4.000000,90
2022-08-22,3.915000,3.970000,3.810000,3.890000,3.890000,5800
2022-08-23,3.945000,3.945000,3.945000,3.945000,3.945000,15
2022-08-24,3.860000,3.935000,3.765000,3.935000,3.935000,2774
2022-08-25,3.990000,3.990000,3.890000,3.945000,3.945000,621
2022-08-26,3.985000,3.985000,3.845000,3.915000,3.915000,6396
2022-08-29,3.900000,3.900000,3.750000,3.900000,3.900000,3811
2022-08-30,3.950000,3.950000,3.870000,3.930000,3.930000,1502
2022-08-31,3.950000,3.985000,3.950000,3.985000,3.985000,889
2022-09-01,4.070000,4.120000,3.980000,3.980000,3.980000,6418
2022-09-02,3.900000,4.225000,3.900000,4.225000,4.225000,6570
2022-09-05,4.155000,4.245000,4.045000,4.100000,4.100000,11155
2022-09-06,4.020000,4.140000,4.010000,4.010000,4.010000,1921
2022-09-07,4.030000,4.090000,3.990000,4.015000,4.015000,5621
2022-09-08,3.990000,4.060000,3.930000,4.060000,4.060000,1426
2022-09-09,3.825000,4.070000,3.825000,4.070000,4.070000,357
2022-09-12,4.100000,4.100000,3.980000,3.980000,3.980000,1679
2022-09-13,4.060000,4.065000,4.060000,4.065000,4.065000,1506
2022-09-14,3.980000,4.065000,3.925000,3.930000,3.930000,3200
2022-09-15,3.895000,4.010000,3.895000,4.010000,4.010000,601
2022-09-16,3.925000,4.000000,3.840000,3.910000,3.910000,5566
