Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,0.207000,0.216000,0.204000,0.216000,0.207492,1286534
2022-02-28,0.214000,0.216500,0.208500,0.211000,0.202689,540137
2022-03-01,0.211500,0.212000,0.206500,0.207500,0.199327,425366
2022-03-02,0.207500,0.207500,0.204500,0.206500,0.198367,468773
2022-03-03,0.208500,0.208500,0.202000,0.202000,0.194044,990667
2022-03-04,0.198800,0.198800,0.185800,0.189600,0.182132,1877858
2022-03-07,0.181000,0.197800,0.176600,0.194200,0.186551,1692100
2022-03-08,0.196800,0.205000,0.195000,0.204000,0.195965,1817565
2022-03-09,0.209500,0.212000,0.201500,0.206500,0.198367,4585323
2022-03-10,0.212500,0.212500,0.202000,0.205000,0.196926,735265
2022-03-11,0.209000,0.209000,0.202000,0.202000,0.194044,850708
2022-03-14,0.205000,0.210000,0.202500,0.207000,0.198847,1947869
2022-03-15,0.204000,0.209000,0.204000,0.207500,0.199327,702956
2022-03-16,0.210000,0.217000,0.210000,0.215500,0.207012,1540174
2022-03-17,0.217000,0.217000,0.210000,0.216500,0.207973,943200
2022-03-18,0.219500,0.224500,0.216500,0.216500,0.207973,3985959
2022-03-21,0.219500,0.221500,0.218500,0.219500,0.210855,1590789
2022-03-22,0.221000,0.221500,0.217000,0.218500,0.209894,1593459
2022-03-23,0.219500,0.220000,0.215500,0.215500,0.207012,871844
2022-03-24,0.216000,0.218000,0.214000,0.216000,0.207492,750629
2022-03-25,0.219000,0.220000,0.216000,0.216000,0.207492,1117094
2022-03-28,0.217000,0.219000,0.215000,0.215000,0.206532,967833
2022-03-29,0.217000,0.220500,0.215000,0.216500,0.207973,1060859
2022-03-30,0.219000,0.225000,0.217500,0.223500,0.214697,1861317
2022-03-31,0.224000,0.227500,0.220500,0.220500,0.211815,1136854
2022-04-01,0.222000,0.225000,0.221000,0.222000,0.213256,576800
2022-04-04,0.222000,0.223000,0.219500,0.222000,0.213256,534973
2022-04-05,0.222000,0.222000,0.217500,0.219000,0.210374,555029
2022-04-06,0.219000,0.219000,0.214500,0.217000,0.208453,746726
2022-04-07,0.219500,0.219500,0.216000,0.219500,0.210855,359185
2022-04-08,0.219500,0.221500,0.211000,0.221000,0.212295,1456008
2022-04-11,0.223000,0.223500,0.220000,0.220500,0.211815,544660
2022-04-12,0.220500,0.222000,0.216000,0.218000,0.209414,867094
2022-04-13,0.217500,0.220000,0.217500,0.218500,0.209894,87949
2022-04-14,0.218000,0.220000,0.217000,0.218000,0.209414,295184
2022-04-19,0.221000,0.221000,0.212000,0.217000,0.208453,736574
2022-04-20,0.219000,0.222000,0.218000,0.220000,0.211335,279661
2022-04-21,0.222000,0.223500,0.217000,0.219000,0.210374,858805
2022-04-22,0.220000,0.223500,0.219000,0.220000,0.211335,1183080
2022-04-25,0.223000,0.224500,0.219000,0.224500,0.215658,781867
2022-04-26,0.226000,0.230000,0.222500,0.224500,0.215658,1350923
2022-04-27,0.223000,0.224000,0.219500,0.221000,0.212295,479502
2022-04-28,0.224000,0.225500,0.221500,0.221500,0.212776,699991
2022-04-29,0.221500,0.228500,0.221500,0.228500,0.219500,2978027
2022-05-02,0.213500,0.216000,0.210500,0.214000,0.214000,1434679
2022-05-03,0.215000,0.215000,0.211000,0.213000,0.213000,1094894
2022-05-04,0.213000,0.214000,0.208000,0.213000,0.213000,563469
2022-05-05,0.213000,0.214000,0.209000,0.210500,0.210500,782196
2022-05-06,0.211000,0.213000,0.206000,0.207500,0.207500,777472
2022-05-09,0.206000,0.207500,0.202000,0.204000,0.204000,486421
2022-05-10,0.206000,0.210000,0.204000,0.207500,0.207500,334049
2022-05-11,0.209500,0.209500,0.205000,0.209500,0.209500,293116
2022-05-12,0.208500,0.208500,0.205500,0.206500,0.206500,1888934
2022-05-13,0.205000,0.207500,0.205000,0.207500,0.207500,92949
2022-05-16,0.205500,0.208000,0.205500,0.205500,0.205500,130372
2022-05-17,0.205500,0.207500,0.205000,0.205500,0.205500,505809
2022-05-18,0.208000,0.208000,0.204000,0.204000,0.204000,110983
2022-05-19,0.204000,0.204500,0.201500,0.203000,0.203000,364841
2022-05-20,0.202000,0.205000,0.201500,0.203000,0.203000,175602
2022-05-23,0.205000,0.205500,0.202500,0.205500,0.205500,227675
2022-05-24,0.203000,0.205000,0.203000,0.203000,0.203000,157289
2022-05-25,0.205000,0.205000,0.203500,0.204500,0.204500,283977
2022-05-26,0.205000,0.206000,0.203500,0.205000,0.205000,56306
2022-05-27,0.204000,0.207000,0.204000,0.204500,0.204500,110062
2022-05-30,0.207000,0.207500,0.204500,0.206000,0.206000,369019
2022-05-31,0.205000,0.207000,0.204500,0.206000,0.206000,240927
2022-06-01,0.209500,0.209500,0.205500,0.207000,0.207000,325897
2022-06-02,0.205000,0.208000,0.205000,0.208000,0.208000,86629
2022-06-03,0.207000,0.208000,0.206000,0.208000,0.208000,71260
2022-06-06,0.208000,0.208000,0.203000,0.207000,0.207000,208081
2022-06-07,0.206000,0.207500,0.204000,0.205000,0.205000,107865
2022-06-08,0.205000,0.206000,0.203000,0.205500,0.205500,78630
2022-06-09,0.204000,0.205000,0.203000,0.203000,0.203000,95093
2022-06-10,0.203000,0.203000,0.197800,0.200000,0.200000,811331
2022-06-13,0.198000,0.198200,0.185400,0.186600,0.186600,1253607
2022-06-14,0.188600,0.191600,0.184600,0.191200,0.191200,379665
